province,fire
Trà Vinh,18
Phú Thọ,11
Cà Mau,6
Thanh Hoá,171
Ninh Thuận,36
Hồ Chí Minh,23
Quảng Nam,177
Bình Định,72
Bắc Giang,33
Đồng Nai,105
Bắc Kạn,3
Nghệ An,314
Bình Thuận,79
Tiền Giang,19
Đắk Nông,11
Quảng Trị,36
Long An,74
Điện Biên,0
Lai Châu,1
Quảng Ngãi,143
Hà Tĩnh,106
Thái Nguyên,38
Đồng Tháp,76
Sóc Trăng,12
Lâm Đồng,13
Khánh Hòa,109
Kiên Giang,46
Thừa Thiên Huế,15
Quảng Ninh,58
Bến Tre,63
Gia Lai,64
Vĩnh Phúc,10
Lào Cai,20
Hưng Yên,17
Bà Rịa-Vũng Tàu,48
Phú Yên,121
Cao Bằng,6
Hải Phòng,13
Tuyên Quang,25
Đắk Lắk,65
Hải Dương,33
Kon Tum,4
Bạc Liêu,3
Đà Nẵng,15
Hòa Bình,63
Hà Giang,13
Thái Bình,10
Lạng Sơn,21
Sơn La,8
Cần Thơ,5
Vĩnh Long,4
Ninh Bình,18
Quảng Bình,79
Hậu Giang,12
Hà Nội,63
Bắc Ninh,53
Bình Phước,30
Hà Nam,31
Tây Ninh,53
Bình Dương,65
Nam Định,28
Yên Bái,13
An Giang,93
