province,fire
Trà Vinh,0
Phú Thọ,8
Cà Mau,1
Thanh Hoá,11
Ninh Thuận,24
Hồ Chí Minh,1
Quảng Nam,23
Bình Định,4
Bắc Giang,0
Đồng Nai,12
Bắc Kạn,16
Nghệ An,55
Bình Thuận,42
Tiền Giang,0
Đắk Nông,158
Quảng Trị,0
Long An,0
Điện Biên,89
Lai Châu,29
Quảng Ngãi,27
Hà Tĩnh,1
Thái Nguyên,2
Đồng Tháp,1
Sóc Trăng,0
Lâm Đồng,63
Khánh Hòa,5
Kiên Giang,16
Thừa Thiên Huế,4
Quảng Ninh,17
Bến Tre,0
Gia Lai,170
Vĩnh Phúc,0
Lào Cai,7
Hưng Yên,0
Bà Rịa-Vũng Tàu,5
Phú Yên,1
Cao Bằng,40
Hải Phòng,0
Tuyên Quang,14
Đắk Lắk,161
Hải Dương,0
Kon Tum,72
Bạc Liêu,0
Đà Nẵng,0
Hòa Bình,17
Hà Giang,13
Thái Bình,0
Lạng Sơn,42
Sơn La,115
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,0
Quảng Bình,6
Hậu Giang,0
Hà Nội,0
Bắc Ninh,0
Bình Phước,5
Hà Nam,0
Tây Ninh,0
Bình Dương,0
Nam Định,0
Yên Bái,11
An Giang,0
