province,fire
Trà Vinh,0
Phú Thọ,1
Cà Mau,1
Thanh Hoá,13
Ninh Thuận,0
Hồ Chí Minh,0
Quảng Nam,34
Bình Định,20
Bắc Giang,0
Đồng Nai,1
Bắc Kạn,0
Nghệ An,176
Bình Thuận,1
Tiền Giang,0
Đắk Nông,0
Quảng Trị,0
Long An,11
Điện Biên,0
Lai Châu,0
Quảng Ngãi,24
Hà Tĩnh,6
Thái Nguyên,0
Đồng Tháp,0
Sóc Trăng,0
Lâm Đồng,1
Khánh Hòa,7
Kiên Giang,0
Thừa Thiên Huế,1
Quảng Ninh,3
Bến Tre,0
Gia Lai,2
Vĩnh Phúc,0
Lào Cai,1
Hưng Yên,0
Bà Rịa-Vũng Tàu,0
Phú Yên,15
Cao Bằng,0
Hải Phòng,0
Tuyên Quang,2
Đắk Lắk,3
Hải Dương,0
Kon Tum,0
Bạc Liêu,0
Đà Nẵng,0
Hòa Bình,10
Hà Giang,2
Thái Bình,0
Lạng Sơn,4
Sơn La,3
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,0
Quảng Bình,7
Hậu Giang,0
Hà Nội,0
Bắc Ninh,0
Bình Phước,0
Hà Nam,0
Tây Ninh,0
Bình Dương,0
Nam Định,0
Yên Bái,1
An Giang,1
