province,fire
Trà Vinh,0
Phú Thọ,3
Cà Mau,0
Thanh Hoá,0
Ninh Thuận,1
Hồ Chí Minh,0
Quảng Nam,11
Bình Định,7
Bắc Giang,0
Đồng Nai,0
Bắc Kạn,6
Nghệ An,6
Bình Thuận,0
Tiền Giang,0
Đắk Nông,1
Quảng Trị,0
Long An,0
Điện Biên,13
Lai Châu,4
Quảng Ngãi,9
Hà Tĩnh,2
Thái Nguyên,0
Đồng Tháp,4
Sóc Trăng,0
Lâm Đồng,1
Khánh Hòa,2
Kiên Giang,0
Thừa Thiên Huế,0
Quảng Ninh,34
Bến Tre,0
Gia Lai,5
Vĩnh Phúc,0
Lào Cai,1
Hưng Yên,0
Bà Rịa-Vũng Tàu,0
Phú Yên,3
Cao Bằng,3
Hải Phòng,0
Tuyên Quang,6
Đắk Lắk,3
Hải Dương,0
Kon Tum,2
Bạc Liêu,0
Đà Nẵng,0
Hòa Bình,4
Hà Giang,0
Thái Bình,0
Lạng Sơn,1
Sơn La,15
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,0
Quảng Bình,1
Hậu Giang,0
Hà Nội,0
Bắc Ninh,0
Bình Phước,0
Hà Nam,0
Tây Ninh,0
Bình Dương,0
Nam Định,0
Yên Bái,6
An Giang,0
