province,fire
Trà Vinh,0
Phú Thọ,7
Cà Mau,0
Thanh Hoá,108
Ninh Thuận,14
Hồ Chí Minh,0
Quảng Nam,114
Bình Định,7
Bắc Giang,11
Đồng Nai,9
Bắc Kạn,102
Nghệ An,99
Bình Thuận,21
Tiền Giang,1
Đắk Nông,26
Quảng Trị,0
Long An,1
Điện Biên,303
Lai Châu,227
Quảng Ngãi,56
Hà Tĩnh,13
Thái Nguyên,20
Đồng Tháp,0
Sóc Trăng,0
Lâm Đồng,40
Khánh Hòa,14
Kiên Giang,2
Thừa Thiên Huế,11
Quảng Ninh,80
Bến Tre,0
Gia Lai,114
Vĩnh Phúc,1
Lào Cai,4
Hưng Yên,0
Bà Rịa-Vũng Tàu,3
Phú Yên,5
Cao Bằng,41
Hải Phòng,0
Tuyên Quang,31
Đắk Lắk,91
Hải Dương,0
Kon Tum,176
Bạc Liêu,0
Đà Nẵng,0
Hòa Bình,18
Hà Giang,11
Thái Bình,0
Lạng Sơn,28
Sơn La,173
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,0
Quảng Bình,27
Hậu Giang,0
Hà Nội,0
Bắc Ninh,0
Bình Phước,9
Hà Nam,0
Tây Ninh,0
Bình Dương,0
Nam Định,0
Yên Bái,17
An Giang,0
