province,fire
Trà Vinh,20
Phú Thọ,19
Cà Mau,45
Thanh Hoá,154
Ninh Thuận,74
Hồ Chí Minh,26
Quảng Nam,619
Bình Định,135
Bắc Giang,31
Đồng Nai,123
Bắc Kạn,44
Nghệ An,421
Bình Thuận,168
Tiền Giang,35
Đắk Nông,117
Quảng Trị,230
Long An,88
Điện Biên,474
Lai Châu,526
Quảng Ngãi,546
Hà Tĩnh,55
Thái Nguyên,64
Đồng Tháp,228
Sóc Trăng,134
Lâm Đồng,79
Khánh Hòa,83
Kiên Giang,148
Thừa Thiên Huế,122
Quảng Ninh,127
Bến Tre,2
Gia Lai,324
Vĩnh Phúc,6
Lào Cai,29
Hưng Yên,1
Bà Rịa-Vũng Tàu,41
Phú Yên,262
Cao Bằng,24
Hải Phòng,10
Tuyên Quang,76
Đắk Lắk,323
Hải Dương,19
Kon Tum,167
Bạc Liêu,92
Đà Nẵng,16
Hòa Bình,47
Hà Giang,106
Thái Bình,5
Lạng Sơn,72
Sơn La,175
Cần Thơ,15
Vĩnh Long,1
Ninh Bình,30
Quảng Bình,91
Hậu Giang,4
Hà Nội,24
Bắc Ninh,11
Bình Phước,86
Hà Nam,11
Tây Ninh,58
Bình Dương,41
Nam Định,10
Yên Bái,29
An Giang,155
