province,fire
Trà Vinh,0
Phú Thọ,1
Cà Mau,1
Thanh Hoá,3
Ninh Thuận,2
Hồ Chí Minh,0
Quảng Nam,2
Bình Định,5
Bắc Giang,0
Đồng Nai,5
Bắc Kạn,0
Nghệ An,9
Bình Thuận,1
Tiền Giang,0
Đắk Nông,7
Quảng Trị,0
Long An,2
Điện Biên,2
Lai Châu,0
Quảng Ngãi,2
Hà Tĩnh,5
Thái Nguyên,0
Đồng Tháp,0
Sóc Trăng,0
Lâm Đồng,0
Khánh Hòa,0
Kiên Giang,2
Thừa Thiên Huế,8
Quảng Ninh,6
Bến Tre,0
Gia Lai,11
Vĩnh Phúc,0
Lào Cai,0
Hưng Yên,0
Bà Rịa-Vũng Tàu,1
Phú Yên,0
Cao Bằng,2
Hải Phòng,0
Tuyên Quang,0
Đắk Lắk,83
Hải Dương,0
Kon Tum,7
Bạc Liêu,0
Đà Nẵng,0
Hòa Bình,7
Hà Giang,3
Thái Bình,0
Lạng Sơn,2
Sơn La,1
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,0
Quảng Bình,5
Hậu Giang,0
Hà Nội,0
Bắc Ninh,0
Bình Phước,1
Hà Nam,0
Tây Ninh,1
Bình Dương,0
Nam Định,0
Yên Bái,2
An Giang,0
