province,fire
Trà Vinh,0
Phú Thọ,0
Cà Mau,0
Thanh Hoá,4
Ninh Thuận,1
Hồ Chí Minh,0
Quảng Nam,39
Bình Định,28
Bắc Giang,0
Đồng Nai,0
Bắc Kạn,0
Nghệ An,0
Bình Thuận,0
Tiền Giang,0
Đắk Nông,0
Quảng Trị,0
Long An,0
Điện Biên,0
Lai Châu,3
Quảng Ngãi,20
Hà Tĩnh,8
Thái Nguyên,0
Đồng Tháp,0
Sóc Trăng,0
Lâm Đồng,0
Khánh Hòa,8
Kiên Giang,0
Thừa Thiên Huế,8
Quảng Ninh,2
Bến Tre,0
Gia Lai,3
Vĩnh Phúc,0
Lào Cai,0
Hưng Yên,0
Bà Rịa-Vũng Tàu,0
Phú Yên,30
Cao Bằng,1
Hải Phòng,0
Tuyên Quang,0
Đắk Lắk,3
Hải Dương,0
Kon Tum,1
Bạc Liêu,0
Đà Nẵng,0
Hòa Bình,1
Hà Giang,0
Thái Bình,0
Lạng Sơn,0
Sơn La,0
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,0
Quảng Bình,6
Hậu Giang,0
Hà Nội,0
Bắc Ninh,0
Bình Phước,0
Hà Nam,0
Tây Ninh,0
Bình Dương,0
Nam Định,0
Yên Bái,0
An Giang,0
