province,fire
Trà Vinh,0
Phú Thọ,9
Cà Mau,9
Thanh Hoá,190
Ninh Thuận,108
Hồ Chí Minh,26
Quảng Nam,924
Bình Định,151
Bắc Giang,27
Đồng Nai,74
Bắc Kạn,53
Nghệ An,826
Bình Thuận,152
Tiền Giang,55
Đắk Nông,126
Quảng Trị,373
Long An,90
Điện Biên,88
Lai Châu,117
Quảng Ngãi,546
Hà Tĩnh,66
Thái Nguyên,20
Đồng Tháp,272
Sóc Trăng,19
Lâm Đồng,161
Khánh Hòa,248
Kiên Giang,101
Thừa Thiên Huế,114
Quảng Ninh,139
Bến Tre,7
Gia Lai,370
Vĩnh Phúc,2
Lào Cai,37
Hưng Yên,6
Bà Rịa-Vũng Tàu,65
Phú Yên,112
Cao Bằng,42
Hải Phòng,2
Tuyên Quang,61
Đắk Lắk,596
Hải Dương,18
Kon Tum,263
Bạc Liêu,13
Đà Nẵng,23
Hòa Bình,43
Hà Giang,117
Thái Bình,0
Lạng Sơn,67
Sơn La,251
Cần Thơ,31
Vĩnh Long,6
Ninh Bình,12
Quảng Bình,99
Hậu Giang,7
Hà Nội,17
Bắc Ninh,7
Bình Phước,61
Hà Nam,18
Tây Ninh,61
Bình Dương,43
Nam Định,5
Yên Bái,52
An Giang,60
