province,fire
Trà Vinh,248
Phú Thọ,217
Cà Mau,86
Thanh Hoá,1456
Ninh Thuận,2244
Hồ Chí Minh,156
Quảng Nam,3565
Bình Định,589
Bắc Giang,217
Đồng Nai,689
Bắc Kạn,217
Nghệ An,2132
Bình Thuận,1516
Tiền Giang,306
Đắk Nông,3688
Quảng Trị,2869
Long An,4441
Điện Biên,13584
Lai Châu,3407
Quảng Ngãi,1265
Hà Tĩnh,1374
Thái Nguyên,322
Đồng Tháp,1338
Sóc Trăng,1548
Lâm Đồng,2650
Khánh Hòa,1036
Kiên Giang,4207
Thừa Thiên Huế,549
Quảng Ninh,708
Bến Tre,104
Gia Lai,13816
Vĩnh Phúc,59
Lào Cai,234
Hưng Yên,44
Bà Rịa-Vũng Tàu,343
Phú Yên,1169
Cao Bằng,552
Hải Phòng,97
Tuyên Quang,349
Đắk Lắk,8794
Hải Dương,134
Kon Tum,8689
Bạc Liêu,834
Đà Nẵng,126
Hòa Bình,424
Hà Giang,540
Thái Bình,28
Lạng Sơn,526
Sơn La,9414
Cần Thơ,111
Vĩnh Long,12
Ninh Bình,48
Quảng Bình,2335
Hậu Giang,1326
Hà Nội,89
Bắc Ninh,91
Bình Phước,688
Hà Nam,70
Tây Ninh,813
Bình Dương,825
Nam Định,46
Yên Bái,180
An Giang,4302
