province,fire
Trà Vinh,0
Phú Thọ,1
Cà Mau,0
Thanh Hoá,0
Ninh Thuận,3
Hồ Chí Minh,0
Quảng Nam,3
Bình Định,0
Bắc Giang,0
Đồng Nai,8
Bắc Kạn,1
Nghệ An,2
Bình Thuận,19
Tiền Giang,0
Đắk Nông,24
Quảng Trị,0
Long An,0
Điện Biên,20
Lai Châu,16
Quảng Ngãi,2
Hà Tĩnh,3
Thái Nguyên,0
Đồng Tháp,0
Sóc Trăng,0
Lâm Đồng,20
Khánh Hòa,4
Kiên Giang,0
Thừa Thiên Huế,3
Quảng Ninh,1
Bến Tre,0
Gia Lai,41
Vĩnh Phúc,0
Lào Cai,0
Hưng Yên,0
Bà Rịa-Vũng Tàu,5
Phú Yên,3
Cao Bằng,1
Hải Phòng,0
Tuyên Quang,2
Đắk Lắk,107
Hải Dương,0
Kon Tum,36
Bạc Liêu,0
Đà Nẵng,0
Hòa Bình,0
Hà Giang,0
Thái Bình,0
Lạng Sơn,2
Sơn La,27
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,0
Quảng Bình,0
Hậu Giang,0
Hà Nội,0
Bắc Ninh,0
Bình Phước,35
Hà Nam,0
Tây Ninh,1
Bình Dương,0
Nam Định,0
Yên Bái,1
An Giang,0
