province,fire
Trà Vinh,0
Phú Thọ,25
Cà Mau,0
Thanh Hoá,27
Ninh Thuận,1
Hồ Chí Minh,0
Quảng Nam,1
Bình Định,0
Bắc Giang,10
Đồng Nai,0
Bắc Kạn,9
Nghệ An,14
Bình Thuận,5
Tiền Giang,0
Đắk Nông,9
Quảng Trị,0
Long An,0
Điện Biên,48
Lai Châu,20
Quảng Ngãi,3
Hà Tĩnh,3
Thái Nguyên,12
Đồng Tháp,0
Sóc Trăng,0
Lâm Đồng,5
Khánh Hòa,0
Kiên Giang,1
Thừa Thiên Huế,0
Quảng Ninh,83
Bến Tre,0
Gia Lai,8
Vĩnh Phúc,5
Lào Cai,4
Hưng Yên,0
Bà Rịa-Vũng Tàu,2
Phú Yên,1
Cao Bằng,7
Hải Phòng,0
Tuyên Quang,15
Đắk Lắk,26
Hải Dương,0
Kon Tum,3
Bạc Liêu,0
Đà Nẵng,0
Hòa Bình,15
Hà Giang,2
Thái Bình,0
Lạng Sơn,33
Sơn La,43
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,0
Quảng Bình,3
Hậu Giang,0
Hà Nội,1
Bắc Ninh,0
Bình Phước,3
Hà Nam,0
Tây Ninh,2
Bình Dương,0
Nam Định,0
Yên Bái,32
An Giang,0
