province,fire
Trà Vinh,8
Phú Thọ,2
Cà Mau,15
Thanh Hoá,26
Ninh Thuận,46
Hồ Chí Minh,6
Quảng Nam,233
Bình Định,16
Bắc Giang,1
Đồng Nai,29
Bắc Kạn,6
Nghệ An,63
Bình Thuận,51
Tiền Giang,9
Đắk Nông,63
Quảng Trị,70
Long An,127
Điện Biên,874
Lai Châu,272
Quảng Ngãi,64
Hà Tĩnh,28
Thái Nguyên,3
Đồng Tháp,47
Sóc Trăng,53
Lâm Đồng,95
Khánh Hòa,40
Kiên Giang,262
Thừa Thiên Huế,26
Quảng Ninh,12
Bến Tre,4
Gia Lai,335
Vĩnh Phúc,0
Lào Cai,30
Hưng Yên,0
Bà Rịa-Vũng Tàu,6
Phú Yên,49
Cao Bằng,21
Hải Phòng,0
Tuyên Quang,13
Đắk Lắk,232
Hải Dương,2
Kon Tum,559
Bạc Liêu,23
Đà Nẵng,5
Hòa Bình,10
Hà Giang,30
Thái Bình,0
Lạng Sơn,5
Sơn La,448
Cần Thơ,16
Vĩnh Long,1
Ninh Bình,0
Quảng Bình,37
Hậu Giang,64
Hà Nội,1
Bắc Ninh,0
Bình Phước,20
Hà Nam,0
Tây Ninh,32
Bình Dương,17
Nam Định,0
Yên Bái,7
An Giang,123
