province,fire
Trà Vinh,0
Phú Thọ,2
Cà Mau,0
Thanh Hoá,2
Ninh Thuận,1
Hồ Chí Minh,0
Quảng Nam,2
Bình Định,4
Bắc Giang,1
Đồng Nai,2
Bắc Kạn,0
Nghệ An,3
Bình Thuận,1
Tiền Giang,0
Đắk Nông,1
Quảng Trị,0
Long An,1
Điện Biên,22
Lai Châu,0
Quảng Ngãi,5
Hà Tĩnh,6
Thái Nguyên,1
Đồng Tháp,0
Sóc Trăng,0
Lâm Đồng,1
Khánh Hòa,2
Kiên Giang,0
Thừa Thiên Huế,11
Quảng Ninh,1
Bến Tre,0
Gia Lai,1
Vĩnh Phúc,0
Lào Cai,0
Hưng Yên,0
Bà Rịa-Vũng Tàu,1
Phú Yên,0
Cao Bằng,0
Hải Phòng,0
Tuyên Quang,0
Đắk Lắk,4
Hải Dương,0
Kon Tum,10
Bạc Liêu,0
Đà Nẵng,0
Hòa Bình,4
Hà Giang,1
Thái Bình,0
Lạng Sơn,1
Sơn La,2
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,0
Quảng Bình,4
Hậu Giang,0
Hà Nội,0
Bắc Ninh,0
Bình Phước,0
Hà Nam,0
Tây Ninh,0
Bình Dương,0
Nam Định,0
Yên Bái,1
An Giang,0
