province,fire
Trà Vinh,0
Phú Thọ,2
Cà Mau,0
Thanh Hoá,0
Ninh Thuận,1
Hồ Chí Minh,0
Quảng Nam,9
Bình Định,2
Bắc Giang,0
Đồng Nai,1
Bắc Kạn,1
Nghệ An,13
Bình Thuận,1
Tiền Giang,0
Đắk Nông,1
Quảng Trị,0
Long An,0
Điện Biên,1
Lai Châu,2
Quảng Ngãi,3
Hà Tĩnh,0
Thái Nguyên,1
Đồng Tháp,0
Sóc Trăng,0
Lâm Đồng,1
Khánh Hòa,0
Kiên Giang,0
Thừa Thiên Huế,1
Quảng Ninh,9
Bến Tre,0
Gia Lai,2
Vĩnh Phúc,0
Lào Cai,0
Hưng Yên,0
Bà Rịa-Vũng Tàu,0
Phú Yên,1
Cao Bằng,3
Hải Phòng,0
Tuyên Quang,6
Đắk Lắk,3
Hải Dương,0
Kon Tum,3
Bạc Liêu,0
Đà Nẵng,0
Hòa Bình,0
Hà Giang,0
Thái Bình,0
Lạng Sơn,4
Sơn La,4
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,0
Quảng Bình,2
Hậu Giang,0
Hà Nội,0
Bắc Ninh,0
Bình Phước,9
Hà Nam,0
Tây Ninh,0
Bình Dương,0
Nam Định,0
Yên Bái,2
An Giang,0
