province,fire
Trà Vinh,0
Phú Thọ,2
Cà Mau,2
Thanh Hoá,3
Ninh Thuận,7
Hồ Chí Minh,1
Quảng Nam,23
Bình Định,5
Bắc Giang,0
Đồng Nai,8
Bắc Kạn,0
Nghệ An,3
Bình Thuận,37
Tiền Giang,0
Đắk Nông,137
Quảng Trị,0
Long An,0
Điện Biên,48
Lai Châu,10
Quảng Ngãi,19
Hà Tĩnh,4
Thái Nguyên,0
Đồng Tháp,1
Sóc Trăng,0
Lâm Đồng,79
Khánh Hòa,1
Kiên Giang,0
Thừa Thiên Huế,10
Quảng Ninh,0
Bến Tre,0
Gia Lai,191
Vĩnh Phúc,0
Lào Cai,1
Hưng Yên,0
Bà Rịa-Vũng Tàu,2
Phú Yên,1
Cao Bằng,0
Hải Phòng,0
Tuyên Quang,0
Đắk Lắk,87
Hải Dương,0
Kon Tum,147
Bạc Liêu,0
Đà Nẵng,0
Hòa Bình,3
Hà Giang,0
Thái Bình,0
Lạng Sơn,0
Sơn La,29
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,0
Quảng Bình,1
Hậu Giang,0
Hà Nội,0
Bắc Ninh,0
Bình Phước,17
Hà Nam,0
Tây Ninh,1
Bình Dương,0
Nam Định,0
Yên Bái,1
An Giang,0
