province,fire
Trà Vinh,52
Phú Thọ,146
Cà Mau,86
Thanh Hoá,331
Ninh Thuận,1302
Hồ Chí Minh,315
Quảng Nam,699
Bình Định,233
Bắc Giang,160
Đồng Nai,831
Bắc Kạn,165
Nghệ An,688
Bình Thuận,6088
Tiền Giang,307
Đắk Nông,5039
Quảng Trị,639
Long An,773
Điện Biên,5184
Lai Châu,1623
Quảng Ngãi,1019
Hà Tĩnh,338
Thái Nguyên,102
Đồng Tháp,2135
Sóc Trăng,78
Lâm Đồng,3669
Khánh Hòa,347
Kiên Giang,883
Thừa Thiên Huế,195
Quảng Ninh,687
Bến Tre,151
Gia Lai,14203
Vĩnh Phúc,12
Lào Cai,250
Hưng Yên,1
Bà Rịa-Vũng Tàu,502
Phú Yên,284
Cao Bằng,211
Hải Phòng,16
Tuyên Quang,260
Đắk Lắk,20619
Hải Dương,32
Kon Tum,6657
Bạc Liêu,14
Đà Nẵng,83
Hòa Bình,154
Hà Giang,222
Thái Bình,3
Lạng Sơn,1428
Sơn La,2573
Cần Thơ,129
Vĩnh Long,64
Ninh Bình,40
Quảng Bình,791
Hậu Giang,61
Hà Nội,8
Bắc Ninh,38
Bình Phước,1201
Hà Nam,17
Tây Ninh,826
Bình Dương,410
Nam Định,3
Yên Bái,330
An Giang,441
