province,fire
Trà Vinh,0
Phú Thọ,9
Cà Mau,0
Thanh Hoá,0
Ninh Thuận,9
Hồ Chí Minh,0
Quảng Nam,32
Bình Định,11
Bắc Giang,0
Đồng Nai,0
Bắc Kạn,3
Nghệ An,13
Bình Thuận,7
Tiền Giang,0
Đắk Nông,15
Quảng Trị,0
Long An,4
Điện Biên,75
Lai Châu,29
Quảng Ngãi,11
Hà Tĩnh,6
Thái Nguyên,0
Đồng Tháp,10
Sóc Trăng,0
Lâm Đồng,10
Khánh Hòa,2
Kiên Giang,1
Thừa Thiên Huế,6
Quảng Ninh,22
Bến Tre,0
Gia Lai,25
Vĩnh Phúc,0
Lào Cai,7
Hưng Yên,0
Bà Rịa-Vũng Tàu,1
Phú Yên,6
Cao Bằng,11
Hải Phòng,0
Tuyên Quang,9
Đắk Lắk,34
Hải Dương,0
Kon Tum,22
Bạc Liêu,0
Đà Nẵng,0
Hòa Bình,9
Hà Giang,0
Thái Bình,0
Lạng Sơn,7
Sơn La,77
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,0
Quảng Bình,5
Hậu Giang,0
Hà Nội,0
Bắc Ninh,0
Bình Phước,9
Hà Nam,0
Tây Ninh,0
Bình Dương,0
Nam Định,0
Yên Bái,11
An Giang,1
