province,fire
Trà Vinh,0
Phú Thọ,10
Cà Mau,1
Thanh Hoá,0
Ninh Thuận,10
Hồ Chí Minh,0
Quảng Nam,13
Bình Định,0
Bắc Giang,0
Đồng Nai,5
Bắc Kạn,19
Nghệ An,28
Bình Thuận,14
Tiền Giang,0
Đắk Nông,53
Quảng Trị,0
Long An,0
Điện Biên,146
Lai Châu,186
Quảng Ngãi,1
Hà Tĩnh,2
Thái Nguyên,6
Đồng Tháp,0
Sóc Trăng,0
Lâm Đồng,27
Khánh Hòa,2
Kiên Giang,2
Thừa Thiên Huế,8
Quảng Ninh,12
Bến Tre,0
Gia Lai,114
Vĩnh Phúc,0
Lào Cai,36
Hưng Yên,0
Bà Rịa-Vũng Tàu,4
Phú Yên,1
Cao Bằng,65
Hải Phòng,0
Tuyên Quang,20
Đắk Lắk,109
Hải Dương,0
Kon Tum,59
Bạc Liêu,0
Đà Nẵng,0
Hòa Bình,15
Hà Giang,0
Thái Bình,0
Lạng Sơn,40
Sơn La,171
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,0
Quảng Bình,11
Hậu Giang,0
Hà Nội,0
Bắc Ninh,0
Bình Phước,70
Hà Nam,0
Tây Ninh,0
Bình Dương,3
Nam Định,0
Yên Bái,35
An Giang,0
