province,fire
Trà Vinh,0
Phú Thọ,0
Cà Mau,0
Thanh Hoá,0
Ninh Thuận,0
Hồ Chí Minh,0
Quảng Nam,2
Bình Định,3
Bắc Giang,0
Đồng Nai,0
Bắc Kạn,0
Nghệ An,17
Bình Thuận,0
Tiền Giang,0
Đắk Nông,0
Quảng Trị,0
Long An,2
Điện Biên,0
Lai Châu,0
Quảng Ngãi,3
Hà Tĩnh,0
Thái Nguyên,0
Đồng Tháp,0
Sóc Trăng,0
Lâm Đồng,0
Khánh Hòa,0
Kiên Giang,1
Thừa Thiên Huế,2
Quảng Ninh,3
Bến Tre,0
Gia Lai,1
Vĩnh Phúc,0
Lào Cai,1
Hưng Yên,0
Bà Rịa-Vũng Tàu,0
Phú Yên,0
Cao Bằng,0
Hải Phòng,0
Tuyên Quang,0
Đắk Lắk,2
Hải Dương,0
Kon Tum,1
Bạc Liêu,0
Đà Nẵng,0
Hòa Bình,1
Hà Giang,0
Thái Bình,0
Lạng Sơn,0
Sơn La,0
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,0
Quảng Bình,0
Hậu Giang,0
Hà Nội,0
Bắc Ninh,0
Bình Phước,1
Hà Nam,0
Tây Ninh,0
Bình Dương,0
Nam Định,0
Yên Bái,0
An Giang,0
