,province,fire
0,Trà Vinh,8
1,Phú Thọ,2
2,Cà Mau,15
3,Thanh Hoá,26
4,Ninh Thuận,46
5,TP. Hồ Chí Minh,6
6,Quảng Nam,233
7,Bình Định,16
8,Bắc Giang,1
9,Đồng Nai,29
10,Bắc Kạn,6
11,Nghệ An,63
12,Bình Thuận,51
13,Tiền Giang,9
14,Đắk Nông,63
15,Quảng Trị,70
16,Long An,127
17,Điện Biên,874
18,Lai Châu,272
19,Quảng Ngãi,64
20,Hà Tĩnh,28
21,Thái Nguyên,3
22,Đồng Tháp,47
23,Sóc Trăng,53
24,Lâm Đồng,95
25,Khánh Hoà,40
26,Kiên Giang,262
27,Thừa Thiên - Huế,26
28,Quảng Ninh,12
29,Bến Tre,4
30,Gia Lai,335
31,Vĩnh Phúc,0
32,Lào Cai,30
33,Hưng Yên,0
34,Bà Rịa - Vũng Tàu,6
35,Phú Yên,49
36,Cao Bằng,21
37,Hải Phòng,0
38,Tuyên Quang,13
39,Đắk Lắk,232
40,Hải Dương,2
41,Kon Tum,559
42,Bạc Liêu,23
43,Đà Nẵng,5
44,Hoà Bình,10
45,Hà Giang,30
46,Thái Bình,0
47,Lạng Sơn,5
48,Sơn La,448
49,Cần Thơ,16
50,Vĩnh Long,1
51,Ninh Bình,0
52,Quảng Bình,37
53,Hậu Giang,64
54,Hà Nội,1
55,Bắc Ninh,0
56,Bình Phước,20
57,Hà Nam,0
58,Tây Ninh,32
59,Bình Dương,17
60,Nam Định,0
61,Yên Bái,7
62,An Giang,123
