,province,fire
0,Trà Vinh,4
1,Phú Thọ,1
2,Cà Mau,2
3,Thanh Hoá,25
4,Ninh Thuận,19
5,TP. Hồ Chí Minh,1
6,Quảng Nam,33
7,Bình Định,33
8,Bắc Giang,15
9,Đồng Nai,18
10,Bắc Kạn,2
11,Nghệ An,22
12,Bình Thuận,55
13,Tiền Giang,3
14,Đắk Nông,17
15,Quảng Trị,22
16,Long An,6
17,Điện Biên,43
18,Lai Châu,7
19,Quảng Ngãi,73
20,Hà Tĩnh,13
21,Thái Nguyên,2
22,Đồng Tháp,15
23,Sóc Trăng,32
24,Lâm Đồng,119
25,Khánh Hoà,12
26,Kiên Giang,16
27,Thừa Thiên - Huế,30
28,Quảng Ninh,65
29,Bến Tre,0
30,Gia Lai,52
31,Vĩnh Phúc,3
32,Lào Cai,3
33,Hưng Yên,0
34,Bà Rịa - Vũng Tàu,27
35,Phú Yên,3
36,Cao Bằng,4
37,Hải Phòng,2
38,Tuyên Quang,3
39,Đắk Lắk,175
40,Hải Dương,11
41,Kon Tum,28
42,Bạc Liêu,17
43,Đà Nẵng,0
44,Hoà Bình,5
45,Hà Giang,0
46,Thái Bình,1
47,Lạng Sơn,31
48,Sơn La,23
49,Cần Thơ,0
50,Vĩnh Long,1
51,Ninh Bình,3
52,Quảng Bình,13
53,Hậu Giang,0
54,Hà Nội,4
55,Bắc Ninh,1
56,Bình Phước,16
57,Hà Nam,7
58,Tây Ninh,34
59,Bình Dương,13
60,Nam Định,2
61,Yên Bái,4
62,An Giang,50
