,province,fire
0,Trà Vinh,2
1,Phú Thọ,4
2,Cà Mau,13
3,Thanh Hoá,36
4,Ninh Thuận,6
5,TP. Hồ Chí Minh,10
6,Quảng Nam,100
7,Bình Định,62
8,Bắc Giang,47
9,Đồng Nai,38
10,Bắc Kạn,5
11,Nghệ An,39
12,Bình Thuận,28
13,Tiền Giang,10
14,Đắk Nông,0
15,Quảng Trị,24
16,Long An,23
17,Điện Biên,1
18,Lai Châu,4
19,Quảng Ngãi,101
20,Hà Tĩnh,25
21,Thái Nguyên,39
22,Đồng Tháp,19
23,Sóc Trăng,3
24,Lâm Đồng,6
25,Khánh Hoà,26
26,Kiên Giang,23
27,Thừa Thiên - Huế,28
28,Quảng Ninh,46
29,Bến Tre,4
30,Gia Lai,32
31,Vĩnh Phúc,8
32,Lào Cai,9
33,Hưng Yên,15
34,Bà Rịa - Vũng Tàu,13
35,Phú Yên,50
36,Cao Bằng,2
37,Hải Phòng,14
38,Tuyên Quang,15
39,Đắk Lắk,28
40,Hải Dương,24
41,Kon Tum,5
42,Bạc Liêu,6
43,Đà Nẵng,6
44,Hoà Bình,7
45,Hà Giang,7
46,Thái Bình,12
47,Lạng Sơn,15
48,Sơn La,11
49,Cần Thơ,6
50,Vĩnh Long,11
51,Ninh Bình,15
52,Quảng Bình,35
53,Hậu Giang,4
54,Hà Nội,44
55,Bắc Ninh,48
56,Bình Phước,17
57,Hà Nam,13
58,Tây Ninh,16
59,Bình Dương,34
60,Nam Định,2
61,Yên Bái,9
62,An Giang,44
