,province,fire
0,Trà Vinh,248
1,Phú Thọ,217
2,Cà Mau,86
3,Thanh Hoá,1456
4,Ninh Thuận,2244
5,TP. Hồ Chí Minh,156
6,Quảng Nam,3565
7,Bình Định,589
8,Bắc Giang,217
9,Đồng Nai,689
10,Bắc Kạn,217
11,Nghệ An,2132
12,Bình Thuận,1516
13,Tiền Giang,306
14,Đắk Nông,3688
15,Quảng Trị,2869
16,Long An,4441
17,Điện Biên,13584
18,Lai Châu,3407
19,Quảng Ngãi,1265
20,Hà Tĩnh,1374
21,Thái Nguyên,322
22,Đồng Tháp,1338
23,Sóc Trăng,1548
24,Lâm Đồng,2650
25,Khánh Hoà,1036
26,Kiên Giang,4207
27,Thừa Thiên - Huế,549
28,Quảng Ninh,708
29,Bến Tre,104
30,Gia Lai,13816
31,Vĩnh Phúc,59
32,Lào Cai,234
33,Hưng Yên,44
34,Bà Rịa - Vũng Tàu,343
35,Phú Yên,1169
36,Cao Bằng,552
37,Hải Phòng,97
38,Tuyên Quang,349
39,Đắk Lắk,8794
40,Hải Dương,134
41,Kon Tum,8689
42,Bạc Liêu,834
43,Đà Nẵng,126
44,Hoà Bình,424
45,Hà Giang,540
46,Thái Bình,28
47,Lạng Sơn,526
48,Sơn La,9414
49,Cần Thơ,111
50,Vĩnh Long,12
51,Ninh Bình,48
52,Quảng Bình,2335
53,Hậu Giang,1326
54,Hà Nội,89
55,Bắc Ninh,91
56,Bình Phước,688
57,Hà Nam,70
58,Tây Ninh,813
59,Bình Dương,825
60,Nam Định,46
61,Yên Bái,180
62,An Giang,4302
