,province,fire
0,Trà Vinh,203
1,Phú Thọ,77
2,Cà Mau,816
3,Thanh Hoá,483
4,Ninh Thuận,656
5,TP. Hồ Chí Minh,449
6,Quảng Nam,4604
7,Bình Định,442
8,Bắc Giang,248
9,Đồng Nai,1855
10,Bắc Kạn,70
11,Nghệ An,1350
12,Bình Thuận,3816
13,Tiền Giang,810
14,Đắk Nông,5333
15,Quảng Trị,1719
16,Long An,9732
17,Điện Biên,23557
18,Lai Châu,7769
19,Quảng Ngãi,2480
20,Hà Tĩnh,461
21,Thái Nguyên,179
22,Đồng Tháp,6419
23,Sóc Trăng,1272
24,Lâm Đồng,2496
25,Khánh Hoà,539
26,Kiên Giang,12371
27,Thừa Thiên - Huế,795
28,Quảng Ninh,365
29,Bến Tre,219
30,Gia Lai,20344
31,Vĩnh Phúc,14
32,Lào Cai,505
33,Hưng Yên,0
34,Bà Rịa - Vũng Tàu,788
35,Phú Yên,927
36,Cao Bằng,231
37,Hải Phòng,21
38,Tuyên Quang,408
39,Đắk Lắk,7132
40,Hải Dương,33
41,Kon Tum,21756
42,Bạc Liêu,586
43,Đà Nẵng,117
44,Hoà Bình,249
45,Hà Giang,259
46,Thái Bình,3
47,Lạng Sơn,235
48,Sơn La,12993
49,Cần Thơ,2816
50,Vĩnh Long,531
51,Ninh Bình,47
52,Quảng Bình,1524
53,Hậu Giang,3520
54,Hà Nội,11
55,Bắc Ninh,48
56,Bình Phước,975
57,Hà Nam,58
58,Tây Ninh,1524
59,Bình Dương,656
60,Nam Định,3
61,Yên Bái,399
62,An Giang,8358
