,province,fire
0,Trà Vinh,369
1,Phú Thọ,113
2,Cà Mau,126
3,Thanh Hoá,2738
4,Ninh Thuận,1353
5,TP. Hồ Chí Minh,486
6,Quảng Nam,4416
7,Bình Định,751
8,Bắc Giang,228
9,Đồng Nai,1278
10,Bắc Kạn,632
11,Nghệ An,4064
12,Bình Thuận,2147
13,Tiền Giang,279
14,Đắk Nông,2855
15,Quảng Trị,2157
16,Long An,1419
17,Điện Biên,25464
18,Lai Châu,10830
19,Quảng Ngãi,2036
20,Hà Tĩnh,930
21,Thái Nguyên,503
22,Đồng Tháp,248
23,Sóc Trăng,1494
24,Lâm Đồng,1976
25,Khánh Hoà,1090
26,Kiên Giang,2471
27,Thừa Thiên - Huế,498
28,Quảng Ninh,1577
29,Bến Tre,81
30,Gia Lai,7102
31,Vĩnh Phúc,32
32,Lào Cai,813
33,Hưng Yên,9
34,Bà Rịa - Vũng Tàu,499
35,Phú Yên,1693
36,Cao Bằng,628
37,Hải Phòng,46
38,Tuyên Quang,941
39,Đắk Lắk,7428
40,Hải Dương,77
41,Kon Tum,4352
42,Bạc Liêu,622
43,Đà Nẵng,77
44,Hoà Bình,722
45,Hà Giang,846
46,Thái Bình,30
47,Lạng Sơn,1399
48,Sơn La,24267
49,Cần Thơ,14
50,Vĩnh Long,21
51,Ninh Bình,82
52,Quảng Bình,1233
53,Hậu Giang,545
54,Hà Nội,36
55,Bắc Ninh,90
56,Bình Phước,893
57,Hà Nam,48
58,Tây Ninh,574
59,Bình Dương,626
60,Nam Định,18
61,Yên Bái,1181
62,An Giang,2280
