,province,fire
0,Trà Vinh,27
1,Phú Thọ,10
2,Cà Mau,24
3,Thanh Hoá,47
4,Ninh Thuận,32
5,TP. Hồ Chí Minh,47
6,Quảng Nam,267
7,Bình Định,296
8,Bắc Giang,33
9,Đồng Nai,63
10,Bắc Kạn,11
11,Nghệ An,72
12,Bình Thuận,56
13,Tiền Giang,7
14,Đắk Nông,10
15,Quảng Trị,43
16,Long An,80
17,Điện Biên,2
18,Lai Châu,3
19,Quảng Ngãi,253
20,Hà Tĩnh,85
21,Thái Nguyên,10
22,Đồng Tháp,53
23,Sóc Trăng,39
24,Lâm Đồng,15
25,Khánh Hoà,84
26,Kiên Giang,71
27,Thừa Thiên - Huế,67
28,Quảng Ninh,23
29,Bến Tre,6
30,Gia Lai,116
31,Vĩnh Phúc,19
32,Lào Cai,3
33,Hưng Yên,0
34,Bà Rịa - Vũng Tàu,57
35,Phú Yên,306
36,Cao Bằng,2
37,Hải Phòng,17
38,Tuyên Quang,7
39,Đắk Lắk,49
40,Hải Dương,33
41,Kon Tum,10
42,Bạc Liêu,17
43,Đà Nẵng,13
44,Hoà Bình,8
45,Hà Giang,6
46,Thái Bình,12
47,Lạng Sơn,5
48,Sơn La,5
49,Cần Thơ,4
50,Vĩnh Long,1
51,Ninh Bình,22
52,Quảng Bình,92
53,Hậu Giang,9
54,Hà Nội,48
55,Bắc Ninh,39
56,Bình Phước,27
57,Hà Nam,10
58,Tây Ninh,41
59,Bình Dương,49
60,Nam Định,23
61,Yên Bái,1
62,An Giang,114
