,province,fire
0,Trà Vinh,0
1,Phú Thọ,2
2,Cà Mau,0
3,Thanh Hoá,69
4,Ninh Thuận,1
5,TP. Hồ Chí Minh,0
6,Quảng Nam,101
7,Bình Định,19
8,Bắc Giang,6
9,Đồng Nai,10
10,Bắc Kạn,22
11,Nghệ An,98
12,Bình Thuận,2
13,Tiền Giang,0
14,Đắk Nông,10
15,Quảng Trị,0
16,Long An,4
17,Điện Biên,24
18,Lai Châu,52
19,Quảng Ngãi,57
20,Hà Tĩnh,9
21,Thái Nguyên,6
22,Đồng Tháp,0
23,Sóc Trăng,0
24,Lâm Đồng,26
25,Khánh Hoà,8
26,Kiên Giang,2
27,Thừa Thiên - Huế,4
28,Quảng Ninh,79
29,Bến Tre,0
30,Gia Lai,20
31,Vĩnh Phúc,0
32,Lào Cai,16
33,Hưng Yên,0
34,Bà Rịa - Vũng Tàu,0
35,Phú Yên,2
36,Cao Bằng,10
37,Hải Phòng,0
38,Tuyên Quang,21
39,Đắk Lắk,22
40,Hải Dương,0
41,Kon Tum,33
42,Bạc Liêu,0
43,Đà Nẵng,0
44,Hoà Bình,8
45,Hà Giang,13
46,Thái Bình,0
47,Lạng Sơn,15
48,Sơn La,37
49,Cần Thơ,0
50,Vĩnh Long,0
51,Ninh Bình,0
52,Quảng Bình,8
53,Hậu Giang,0
54,Hà Nội,0
55,Bắc Ninh,0
56,Bình Phước,8
57,Hà Nam,0
58,Tây Ninh,0
59,Bình Dương,0
60,Nam Định,0
61,Yên Bái,17
62,An Giang,1
