,province,fire
0,Trà Vinh,0
1,Phú Thọ,25
2,Cà Mau,3
3,Thanh Hoá,103
4,Ninh Thuận,10
5,TP. Hồ Chí Minh,3
6,Quảng Nam,217
7,Bình Định,222
8,Bắc Giang,47
9,Đồng Nai,28
10,Bắc Kạn,12
11,Nghệ An,65
12,Bình Thuận,42
13,Tiền Giang,6
14,Đắk Nông,3
15,Quảng Trị,65
16,Long An,42
17,Điện Biên,38
18,Lai Châu,16
19,Quảng Ngãi,185
20,Hà Tĩnh,74
21,Thái Nguyên,22
22,Đồng Tháp,40
23,Sóc Trăng,3
24,Lâm Đồng,4
25,Khánh Hoà,50
26,Kiên Giang,31
27,Thừa Thiên - Huế,57
28,Quảng Ninh,67
29,Bến Tre,4
30,Gia Lai,27
31,Vĩnh Phúc,4
32,Lào Cai,24
33,Hưng Yên,4
34,Bà Rịa - Vũng Tàu,44
35,Phú Yên,178
36,Cao Bằng,24
37,Hải Phòng,20
38,Tuyên Quang,14
39,Đắk Lắk,36
40,Hải Dương,87
41,Kon Tum,6
42,Bạc Liêu,0
43,Đà Nẵng,13
44,Hoà Bình,22
45,Hà Giang,12
46,Thái Bình,5
47,Lạng Sơn,20
48,Sơn La,18
49,Cần Thơ,2
50,Vĩnh Long,0
51,Ninh Bình,19
52,Quảng Bình,61
53,Hậu Giang,0
54,Hà Nội,32
55,Bắc Ninh,28
56,Bình Phước,10
57,Hà Nam,33
58,Tây Ninh,21
59,Bình Dương,12
60,Nam Định,6
61,Yên Bái,14
62,An Giang,18
