,province,fire
0,Trà Vinh,0
1,Phú Thọ,8
2,Cà Mau,1
3,Thanh Hoá,11
4,Ninh Thuận,24
5,TP. Hồ Chí Minh,1
6,Quảng Nam,23
7,Bình Định,4
8,Bắc Giang,0
9,Đồng Nai,12
10,Bắc Kạn,16
11,Nghệ An,55
12,Bình Thuận,42
13,Tiền Giang,0
14,Đắk Nông,158
15,Quảng Trị,0
16,Long An,0
17,Điện Biên,89
18,Lai Châu,29
19,Quảng Ngãi,27
20,Hà Tĩnh,1
21,Thái Nguyên,2
22,Đồng Tháp,1
23,Sóc Trăng,0
24,Lâm Đồng,63
25,Khánh Hoà,5
26,Kiên Giang,16
27,Thừa Thiên - Huế,4
28,Quảng Ninh,17
29,Bến Tre,0
30,Gia Lai,170
31,Vĩnh Phúc,0
32,Lào Cai,7
33,Hưng Yên,0
34,Bà Rịa - Vũng Tàu,5
35,Phú Yên,1
36,Cao Bằng,40
37,Hải Phòng,0
38,Tuyên Quang,14
39,Đắk Lắk,161
40,Hải Dương,0
41,Kon Tum,72
42,Bạc Liêu,0
43,Đà Nẵng,0
44,Hoà Bình,17
45,Hà Giang,13
46,Thái Bình,0
47,Lạng Sơn,42
48,Sơn La,115
49,Cần Thơ,0
50,Vĩnh Long,0
51,Ninh Bình,0
52,Quảng Bình,6
53,Hậu Giang,0
54,Hà Nội,0
55,Bắc Ninh,0
56,Bình Phước,5
57,Hà Nam,0
58,Tây Ninh,0
59,Bình Dương,0
60,Nam Định,0
61,Yên Bái,11
62,An Giang,0
