,province,fire
0,Trà Vinh,0
1,Phú Thọ,43
2,Cà Mau,3
3,Thanh Hoá,34
4,Ninh Thuận,42
5,TP. Hồ Chí Minh,2
6,Quảng Nam,9
7,Bình Định,11
8,Bắc Giang,55
9,Đồng Nai,12
10,Bắc Kạn,59
11,Nghệ An,78
12,Bình Thuận,157
13,Tiền Giang,0
14,Đắk Nông,125
15,Quảng Trị,0
16,Long An,4
17,Điện Biên,78
18,Lai Châu,20
19,Quảng Ngãi,19
20,Hà Tĩnh,38
21,Thái Nguyên,72
22,Đồng Tháp,0
23,Sóc Trăng,0
24,Lâm Đồng,30
25,Khánh Hoà,3
26,Kiên Giang,3
27,Thừa Thiên - Huế,18
28,Quảng Ninh,82
29,Bến Tre,0
30,Gia Lai,131
31,Vĩnh Phúc,3
32,Lào Cai,18
33,Hưng Yên,0
34,Bà Rịa - Vũng Tàu,2
35,Phú Yên,2
36,Cao Bằng,65
37,Hải Phòng,0
38,Tuyên Quang,31
39,Đắk Lắk,112
40,Hải Dương,0
41,Kon Tum,113
42,Bạc Liêu,0
43,Đà Nẵng,0
44,Hoà Bình,35
45,Hà Giang,12
46,Thái Bình,0
47,Lạng Sơn,61
48,Sơn La,91
49,Cần Thơ,0
50,Vĩnh Long,0
51,Ninh Bình,4
52,Quảng Bình,75
53,Hậu Giang,0
54,Hà Nội,0
55,Bắc Ninh,0
56,Bình Phước,22
57,Hà Nam,0
58,Tây Ninh,8
59,Bình Dương,2
60,Nam Định,0
61,Yên Bái,20
62,An Giang,4
