,province,fire
0,Trà Vinh,2
1,Phú Thọ,12
2,Cà Mau,7
3,Thanh Hoá,98
4,Ninh Thuận,20
5,TP. Hồ Chí Minh,37
6,Quảng Nam,391
7,Bình Định,214
8,Bắc Giang,35
9,Đồng Nai,83
10,Bắc Kạn,13
11,Nghệ An,145
12,Bình Thuận,100
13,Tiền Giang,57
14,Đắk Nông,32
15,Quảng Trị,177
16,Long An,120
17,Điện Biên,135
18,Lai Châu,29
19,Quảng Ngãi,285
20,Hà Tĩnh,85
21,Thái Nguyên,31
22,Đồng Tháp,78
23,Sóc Trăng,0
24,Lâm Đồng,33
25,Khánh Hoà,40
26,Kiên Giang,46
27,Thừa Thiên - Huế,164
28,Quảng Ninh,74
29,Bến Tre,22
30,Gia Lai,94
31,Vĩnh Phúc,7
32,Lào Cai,20
33,Hưng Yên,2
34,Bà Rịa - Vũng Tàu,70
35,Phú Yên,213
36,Cao Bằng,24
37,Hải Phòng,32
38,Tuyên Quang,28
39,Đắk Lắk,122
40,Hải Dương,81
41,Kon Tum,12
42,Bạc Liêu,2
43,Đà Nẵng,34
44,Hoà Bình,45
45,Hà Giang,32
46,Thái Bình,4
47,Lạng Sơn,20
48,Sơn La,84
49,Cần Thơ,2
50,Vĩnh Long,6
51,Ninh Bình,40
52,Quảng Bình,104
53,Hậu Giang,6
54,Hà Nội,24
55,Bắc Ninh,12
56,Bình Phước,24
57,Hà Nam,44
58,Tây Ninh,69
59,Bình Dương,42
60,Nam Định,0
61,Yên Bái,39
62,An Giang,17
