,province,fire
0,Trà Vinh,20
1,Phú Thọ,10
2,Cà Mau,7
3,Thanh Hoá,41
4,Ninh Thuận,36
5,TP. Hồ Chí Minh,19
6,Quảng Nam,106
7,Bình Định,131
8,Bắc Giang,13
9,Đồng Nai,66
10,Bắc Kạn,7
11,Nghệ An,65
12,Bình Thuận,74
13,Tiền Giang,31
14,Đắk Nông,1
15,Quảng Trị,26
16,Long An,95
17,Điện Biên,1
18,Lai Châu,5
19,Quảng Ngãi,166
20,Hà Tĩnh,49
21,Thái Nguyên,15
22,Đồng Tháp,44
23,Sóc Trăng,16
24,Lâm Đồng,16
25,Khánh Hoà,217
26,Kiên Giang,92
27,Thừa Thiên - Huế,25
28,Quảng Ninh,16
29,Bến Tre,33
30,Gia Lai,31
31,Vĩnh Phúc,3
32,Lào Cai,5
33,Hưng Yên,1
34,Bà Rịa - Vũng Tàu,37
35,Phú Yên,289
36,Cao Bằng,1
37,Hải Phòng,3
38,Tuyên Quang,5
39,Đắk Lắk,74
40,Hải Dương,31
41,Kon Tum,1
42,Bạc Liêu,5
43,Đà Nẵng,20
44,Hoà Bình,5
45,Hà Giang,16
46,Thái Bình,8
47,Lạng Sơn,2
48,Sơn La,6
49,Cần Thơ,0
50,Vĩnh Long,0
51,Ninh Bình,7
52,Quảng Bình,43
53,Hậu Giang,21
54,Hà Nội,15
55,Bắc Ninh,30
56,Bình Phước,10
57,Hà Nam,19
58,Tây Ninh,17
59,Bình Dương,42
60,Nam Định,7
61,Yên Bái,3
62,An Giang,81
