,province,fire
0,Trà Vinh,0
1,Phú Thọ,19
2,Cà Mau,2
3,Thanh Hoá,759
4,Ninh Thuận,11
5,TP. Hồ Chí Minh,14
6,Quảng Nam,252
7,Bình Định,40
8,Bắc Giang,76
9,Đồng Nai,22
10,Bắc Kạn,100
11,Nghệ An,1079
12,Bình Thuận,25
13,Tiền Giang,1
14,Đắk Nông,20
15,Quảng Trị,2
16,Long An,7
17,Điện Biên,133
18,Lai Châu,156
19,Quảng Ngãi,78
20,Hà Tĩnh,4
21,Thái Nguyên,86
22,Đồng Tháp,5
23,Sóc Trăng,0
24,Lâm Đồng,3
25,Khánh Hoà,11
26,Kiên Giang,4
27,Thừa Thiên - Huế,39
28,Quảng Ninh,237
29,Bến Tre,0
30,Gia Lai,102
31,Vĩnh Phúc,14
32,Lào Cai,42
33,Hưng Yên,8
34,Bà Rịa - Vũng Tàu,10
35,Phú Yên,41
36,Cao Bằng,49
37,Hải Phòng,7
38,Tuyên Quang,143
39,Đắk Lắk,20
40,Hải Dương,17
41,Kon Tum,32
42,Bạc Liêu,0
43,Đà Nẵng,0
44,Hoà Bình,54
45,Hà Giang,157
46,Thái Bình,6
47,Lạng Sơn,100
48,Sơn La,254
49,Cần Thơ,2
50,Vĩnh Long,0
51,Ninh Bình,8
52,Quảng Bình,98
53,Hậu Giang,1
54,Hà Nội,24
55,Bắc Ninh,16
56,Bình Phước,5
57,Hà Nam,6
58,Tây Ninh,4
59,Bình Dương,7
60,Nam Định,6
61,Yên Bái,39
62,An Giang,3
