,province,fire
0,Trà Vinh,0
1,Phú Thọ,9
2,Cà Mau,0
3,Thanh Hoá,0
4,Ninh Thuận,9
5,TP. Hồ Chí Minh,0
6,Quảng Nam,32
7,Bình Định,11
8,Bắc Giang,0
9,Đồng Nai,0
10,Bắc Kạn,3
11,Nghệ An,13
12,Bình Thuận,7
13,Tiền Giang,0
14,Đắk Nông,15
15,Quảng Trị,0
16,Long An,4
17,Điện Biên,75
18,Lai Châu,29
19,Quảng Ngãi,11
20,Hà Tĩnh,6
21,Thái Nguyên,0
22,Đồng Tháp,10
23,Sóc Trăng,0
24,Lâm Đồng,10
25,Khánh Hoà,2
26,Kiên Giang,1
27,Thừa Thiên - Huế,6
28,Quảng Ninh,22
29,Bến Tre,0
30,Gia Lai,25
31,Vĩnh Phúc,0
32,Lào Cai,7
33,Hưng Yên,0
34,Bà Rịa - Vũng Tàu,1
35,Phú Yên,6
36,Cao Bằng,11
37,Hải Phòng,0
38,Tuyên Quang,9
39,Đắk Lắk,34
40,Hải Dương,0
41,Kon Tum,22
42,Bạc Liêu,0
43,Đà Nẵng,0
44,Hoà Bình,9
45,Hà Giang,0
46,Thái Bình,0
47,Lạng Sơn,7
48,Sơn La,77
49,Cần Thơ,0
50,Vĩnh Long,0
51,Ninh Bình,0
52,Quảng Bình,5
53,Hậu Giang,0
54,Hà Nội,0
55,Bắc Ninh,0
56,Bình Phước,9
57,Hà Nam,0
58,Tây Ninh,0
59,Bình Dương,0
60,Nam Định,0
61,Yên Bái,11
62,An Giang,1
