,province,fire
0,Trà Vinh,0
1,Phú Thọ,3
2,Cà Mau,0
3,Thanh Hoá,0
4,Ninh Thuận,18
5,TP. Hồ Chí Minh,0
6,Quảng Nam,3
7,Bình Định,2
8,Bắc Giang,1
9,Đồng Nai,10
10,Bắc Kạn,0
11,Nghệ An,24
12,Bình Thuận,26
13,Tiền Giang,0
14,Đắk Nông,179
15,Quảng Trị,0
16,Long An,1
17,Điện Biên,435
18,Lai Châu,279
19,Quảng Ngãi,7
20,Hà Tĩnh,1
21,Thái Nguyên,2
22,Đồng Tháp,0
23,Sóc Trăng,0
24,Lâm Đồng,35
25,Khánh Hoà,1
26,Kiên Giang,13
27,Thừa Thiên - Huế,4
28,Quảng Ninh,2
29,Bến Tre,0
30,Gia Lai,290
31,Vĩnh Phúc,0
32,Lào Cai,21
33,Hưng Yên,0
34,Bà Rịa - Vũng Tàu,4
35,Phú Yên,1
36,Cao Bằng,2
37,Hải Phòng,0
38,Tuyên Quang,4
39,Đắk Lắk,314
40,Hải Dương,0
41,Kon Tum,551
42,Bạc Liêu,0
43,Đà Nẵng,0
44,Hoà Bình,2
45,Hà Giang,8
46,Thái Bình,0
47,Lạng Sơn,0
48,Sơn La,324
49,Cần Thơ,0
50,Vĩnh Long,0
51,Ninh Bình,0
52,Quảng Bình,4
53,Hậu Giang,0
54,Hà Nội,0
55,Bắc Ninh,0
56,Bình Phước,36
57,Hà Nam,0
58,Tây Ninh,1
59,Bình Dương,0
60,Nam Định,0
61,Yên Bái,12
62,An Giang,0
