,province,fire
0,Trà Vinh,0
1,Phú Thọ,8
2,Cà Mau,3
3,Thanh Hoá,0
4,Ninh Thuận,5
5,TP. Hồ Chí Minh,1
6,Quảng Nam,0
7,Bình Định,5
8,Bắc Giang,0
9,Đồng Nai,3
10,Bắc Kạn,4
11,Nghệ An,20
12,Bình Thuận,8
13,Tiền Giang,0
14,Đắk Nông,6
15,Quảng Trị,0
16,Long An,0
17,Điện Biên,13
18,Lai Châu,18
19,Quảng Ngãi,0
20,Hà Tĩnh,17
21,Thái Nguyên,2
22,Đồng Tháp,0
23,Sóc Trăng,3
24,Lâm Đồng,14
25,Khánh Hoà,1
26,Kiên Giang,6
27,Thừa Thiên - Huế,1
28,Quảng Ninh,2
29,Bến Tre,0
30,Gia Lai,4
31,Vĩnh Phúc,0
32,Lào Cai,7
33,Hưng Yên,0
34,Bà Rịa - Vũng Tàu,0
35,Phú Yên,2
36,Cao Bằng,14
37,Hải Phòng,0
38,Tuyên Quang,2
39,Đắk Lắk,2
40,Hải Dương,0
41,Kon Tum,0
42,Bạc Liêu,1
43,Đà Nẵng,0
44,Hoà Bình,11
45,Hà Giang,0
46,Thái Bình,0
47,Lạng Sơn,14
48,Sơn La,41
49,Cần Thơ,0
50,Vĩnh Long,0
51,Ninh Bình,0
52,Quảng Bình,2
53,Hậu Giang,0
54,Hà Nội,0
55,Bắc Ninh,0
56,Bình Phước,8
57,Hà Nam,0
58,Tây Ninh,0
59,Bình Dương,0
60,Nam Định,0
61,Yên Bái,15
62,An Giang,0
