,province,fire
0,Trà Vinh,52
1,Phú Thọ,146
2,Cà Mau,86
3,Thanh Hoá,331
4,Ninh Thuận,1302
5,TP. Hồ Chí Minh,315
6,Quảng Nam,699
7,Bình Định,233
8,Bắc Giang,160
9,Đồng Nai,831
10,Bắc Kạn,165
11,Nghệ An,688
12,Bình Thuận,6088
13,Tiền Giang,307
14,Đắk Nông,5039
15,Quảng Trị,639
16,Long An,773
17,Điện Biên,5184
18,Lai Châu,1623
19,Quảng Ngãi,1019
20,Hà Tĩnh,338
21,Thái Nguyên,102
22,Đồng Tháp,2135
23,Sóc Trăng,78
24,Lâm Đồng,3669
25,Khánh Hoà,347
26,Kiên Giang,883
27,Thừa Thiên - Huế,195
28,Quảng Ninh,687
29,Bến Tre,151
30,Gia Lai,14203
31,Vĩnh Phúc,12
32,Lào Cai,250
33,Hưng Yên,1
34,Bà Rịa - Vũng Tàu,502
35,Phú Yên,284
36,Cao Bằng,211
37,Hải Phòng,16
38,Tuyên Quang,260
39,Đắk Lắk,20619
40,Hải Dương,32
41,Kon Tum,6657
42,Bạc Liêu,14
43,Đà Nẵng,83
44,Hoà Bình,154
45,Hà Giang,222
46,Thái Bình,3
47,Lạng Sơn,1428
48,Sơn La,2573
49,Cần Thơ,129
50,Vĩnh Long,64
51,Ninh Bình,40
52,Quảng Bình,791
53,Hậu Giang,61
54,Hà Nội,8
55,Bắc Ninh,38
56,Bình Phước,1201
57,Hà Nam,17
58,Tây Ninh,826
59,Bình Dương,410
60,Nam Định,3
61,Yên Bái,330
62,An Giang,441
