,province,fire
0,Trà Vinh,29
1,Phú Thọ,9
2,Cà Mau,63
3,Thanh Hoá,38
4,Ninh Thuận,71
5,TP. Hồ Chí Minh,74
6,Quảng Nam,25
7,Bình Định,52
8,Bắc Giang,23
9,Đồng Nai,283
10,Bắc Kạn,5
11,Nghệ An,99
12,Bình Thuận,409
13,Tiền Giang,29
14,Đắk Nông,275
15,Quảng Trị,43
16,Long An,278
17,Điện Biên,180
18,Lai Châu,51
19,Quảng Ngãi,45
20,Hà Tĩnh,19
21,Thái Nguyên,17
22,Đồng Tháp,568
23,Sóc Trăng,98
24,Lâm Đồng,274
25,Khánh Hoà,33
26,Kiên Giang,131
27,Thừa Thiên - Huế,18
28,Quảng Ninh,96
29,Bến Tre,19
30,Gia Lai,1021
31,Vĩnh Phúc,5
32,Lào Cai,7
33,Hưng Yên,2
34,Bà Rịa - Vũng Tàu,133
35,Phú Yên,54
36,Cao Bằng,1
37,Hải Phòng,2
38,Tuyên Quang,11
39,Đắk Lắk,1590
40,Hải Dương,5
41,Kon Tum,428
42,Bạc Liêu,62
43,Đà Nẵng,3
44,Hoà Bình,11
45,Hà Giang,4
46,Thái Bình,0
47,Lạng Sơn,22
48,Sơn La,154
49,Cần Thơ,1
50,Vĩnh Long,11
51,Ninh Bình,6
52,Quảng Bình,26
53,Hậu Giang,14
54,Hà Nội,7
55,Bắc Ninh,2
56,Bình Phước,220
57,Hà Nam,0
58,Tây Ninh,311
59,Bình Dương,157
60,Nam Định,0
61,Yên Bái,5
62,An Giang,163
