,province,fire
0,Trà Vinh,7
1,Phú Thọ,0
2,Cà Mau,8
3,Thanh Hoá,25
4,Ninh Thuận,34
5,TP. Hồ Chí Minh,8
6,Quảng Nam,134
7,Bình Định,25
8,Bắc Giang,12
9,Đồng Nai,66
10,Bắc Kạn,17
11,Nghệ An,28
12,Bình Thuận,124
13,Tiền Giang,6
14,Đắk Nông,101
15,Quảng Trị,24
16,Long An,31
17,Điện Biên,230
18,Lai Châu,96
19,Quảng Ngãi,77
20,Hà Tĩnh,6
21,Thái Nguyên,4
22,Đồng Tháp,39
23,Sóc Trăng,39
24,Lâm Đồng,106
25,Khánh Hoà,31
26,Kiên Giang,46
27,Thừa Thiên - Huế,6
28,Quảng Ninh,112
29,Bến Tre,5
30,Gia Lai,246
31,Vĩnh Phúc,0
32,Lào Cai,0
33,Hưng Yên,1
34,Bà Rịa - Vũng Tàu,25
35,Phú Yên,32
36,Cao Bằng,4
37,Hải Phòng,0
38,Tuyên Quang,6
39,Đắk Lắk,201
40,Hải Dương,6
41,Kon Tum,359
42,Bạc Liêu,32
43,Đà Nẵng,2
44,Hoà Bình,10
45,Hà Giang,3
46,Thái Bình,0
47,Lạng Sơn,49
48,Sơn La,108
49,Cần Thơ,0
50,Vĩnh Long,3
51,Ninh Bình,0
52,Quảng Bình,14
53,Hậu Giang,3
54,Hà Nội,1
55,Bắc Ninh,2
56,Bình Phước,32
57,Hà Nam,0
58,Tây Ninh,15
59,Bình Dương,22
60,Nam Định,0
61,Yên Bái,2
62,An Giang,64
