,province,fire
0,Trà Vinh,45
1,Phú Thọ,27
2,Cà Mau,31
3,Thanh Hoá,81
4,Ninh Thuận,52
5,TP. Hồ Chí Minh,59
6,Quảng Nam,20
7,Bình Định,17
8,Bắc Giang,52
9,Đồng Nai,166
10,Bắc Kạn,2
11,Nghệ An,223
12,Bình Thuận,251
13,Tiền Giang,30
14,Đắk Nông,158
15,Quảng Trị,34
16,Long An,101
17,Điện Biên,457
18,Lai Châu,129
19,Quảng Ngãi,16
20,Hà Tĩnh,65
21,Thái Nguyên,18
22,Đồng Tháp,75
23,Sóc Trăng,75
24,Lâm Đồng,131
25,Khánh Hoà,21
26,Kiên Giang,179
27,Thừa Thiên - Huế,23
28,Quảng Ninh,69
29,Bến Tre,47
30,Gia Lai,603
31,Vĩnh Phúc,4
32,Lào Cai,42
33,Hưng Yên,1
34,Bà Rịa - Vũng Tàu,69
35,Phú Yên,29
36,Cao Bằng,16
37,Hải Phòng,5
38,Tuyên Quang,25
39,Đắk Lắk,1087
40,Hải Dương,8
41,Kon Tum,190
42,Bạc Liêu,27
43,Đà Nẵng,5
44,Hoà Bình,26
45,Hà Giang,21
46,Thái Bình,5
47,Lạng Sơn,65
48,Sơn La,363
49,Cần Thơ,2
50,Vĩnh Long,0
51,Ninh Bình,2
52,Quảng Bình,92
53,Hậu Giang,18
54,Hà Nội,11
55,Bắc Ninh,5
56,Bình Phước,131
57,Hà Nam,6
58,Tây Ninh,113
59,Bình Dương,70
60,Nam Định,3
61,Yên Bái,43
62,An Giang,160
