,province,fire
0,Trà Vinh,0
1,Phú Thọ,0
2,Cà Mau,0
3,Thanh Hoá,0
4,Ninh Thuận,14
5,TP. Hồ Chí Minh,0
6,Quảng Nam,14
7,Bình Định,4
8,Bắc Giang,0
9,Đồng Nai,6
10,Bắc Kạn,2
11,Nghệ An,3
12,Bình Thuận,10
13,Tiền Giang,0
14,Đắk Nông,21
15,Quảng Trị,0
16,Long An,3
17,Điện Biên,156
18,Lai Châu,168
19,Quảng Ngãi,3
20,Hà Tĩnh,0
21,Thái Nguyên,0
22,Đồng Tháp,1
23,Sóc Trăng,0
24,Lâm Đồng,20
25,Khánh Hoà,9
26,Kiên Giang,0
27,Thừa Thiên - Huế,2
28,Quảng Ninh,2
29,Bến Tre,0
30,Gia Lai,53
31,Vĩnh Phúc,0
32,Lào Cai,4
33,Hưng Yên,0
34,Bà Rịa - Vũng Tàu,1
35,Phú Yên,6
36,Cao Bằng,7
37,Hải Phòng,0
38,Tuyên Quang,6
39,Đắk Lắk,43
40,Hải Dương,0
41,Kon Tum,66
42,Bạc Liêu,0
43,Đà Nẵng,0
44,Hoà Bình,0
45,Hà Giang,0
46,Thái Bình,0
47,Lạng Sơn,4
48,Sơn La,91
49,Cần Thơ,0
50,Vĩnh Long,0
51,Ninh Bình,0
52,Quảng Bình,4
53,Hậu Giang,0
54,Hà Nội,0
55,Bắc Ninh,0
56,Bình Phước,26
57,Hà Nam,0
58,Tây Ninh,0
59,Bình Dương,2
60,Nam Định,0
61,Yên Bái,4
62,An Giang,0
