,province,fire
0,Trà Vinh,0
1,Phú Thọ,20
2,Cà Mau,4
3,Thanh Hoá,46
4,Ninh Thuận,33
5,TP. Hồ Chí Minh,0
6,Quảng Nam,96
7,Bình Định,7
8,Bắc Giang,5
9,Đồng Nai,4
10,Bắc Kạn,19
11,Nghệ An,76
12,Bình Thuận,17
13,Tiền Giang,0
14,Đắk Nông,169
15,Quảng Trị,0
16,Long An,3
17,Điện Biên,483
18,Lai Châu,182
19,Quảng Ngãi,28
20,Hà Tĩnh,8
21,Thái Nguyên,19
22,Đồng Tháp,4
23,Sóc Trăng,0
24,Lâm Đồng,139
25,Khánh Hoà,15
26,Kiên Giang,6
27,Thừa Thiên - Huế,19
28,Quảng Ninh,88
29,Bến Tre,0
30,Gia Lai,246
31,Vĩnh Phúc,0
32,Lào Cai,15
33,Hưng Yên,0
34,Bà Rịa - Vũng Tàu,3
35,Phú Yên,10
36,Cao Bằng,35
37,Hải Phòng,0
38,Tuyên Quang,37
39,Đắk Lắk,153
40,Hải Dương,0
41,Kon Tum,541
42,Bạc Liêu,0
43,Đà Nẵng,0
44,Hoà Bình,14
45,Hà Giang,15
46,Thái Bình,0
47,Lạng Sơn,46
48,Sơn La,328
49,Cần Thơ,0
50,Vĩnh Long,0
51,Ninh Bình,0
52,Quảng Bình,24
53,Hậu Giang,0
54,Hà Nội,0
55,Bắc Ninh,0
56,Bình Phước,15
57,Hà Nam,0
58,Tây Ninh,0
59,Bình Dương,0
60,Nam Định,0
61,Yên Bái,27
62,An Giang,0
