,province,fire
0,Trà Vinh,71
1,Phú Thọ,42
2,Cà Mau,37
3,Thanh Hoá,150
4,Ninh Thuận,62
5,TP. Hồ Chí Minh,72
6,Quảng Nam,151
7,Bình Định,79
8,Bắc Giang,55
9,Đồng Nai,239
10,Bắc Kạn,48
11,Nghệ An,180
12,Bình Thuận,223
13,Tiền Giang,65
14,Đắk Nông,117
15,Quảng Trị,83
16,Long An,235
17,Điện Biên,617
18,Lai Châu,162
19,Quảng Ngãi,127
20,Hà Tĩnh,141
21,Thái Nguyên,58
22,Đồng Tháp,129
23,Sóc Trăng,45
24,Lâm Đồng,110
25,Khánh Hoà,93
26,Kiên Giang,194
27,Thừa Thiên - Huế,60
28,Quảng Ninh,60
29,Bến Tre,64
30,Gia Lai,91
31,Vĩnh Phúc,6
32,Lào Cai,76
33,Hưng Yên,1
34,Bà Rịa - Vũng Tàu,93
35,Phú Yên,110
36,Cao Bằng,37
37,Hải Phòng,33
38,Tuyên Quang,95
39,Đắk Lắk,437
40,Hải Dương,76
41,Kon Tum,35
42,Bạc Liêu,14
43,Đà Nẵng,4
44,Hoà Bình,36
45,Hà Giang,75
46,Thái Bình,4
47,Lạng Sơn,103
48,Sơn La,289
49,Cần Thơ,4
50,Vĩnh Long,5
51,Ninh Bình,21
52,Quảng Bình,149
53,Hậu Giang,41
54,Hà Nội,17
55,Bắc Ninh,15
56,Bình Phước,194
57,Hà Nam,24
58,Tây Ninh,155
59,Bình Dương,112
60,Nam Định,2
61,Yên Bái,147
62,An Giang,226
