,province,fire
0,Trà Vinh,0
1,Phú Thọ,0
2,Cà Mau,0
3,Thanh Hoá,13
4,Ninh Thuận,8
5,TP. Hồ Chí Minh,0
6,Quảng Nam,57
7,Bình Định,4
8,Bắc Giang,0
9,Đồng Nai,0
10,Bắc Kạn,6
11,Nghệ An,11
12,Bình Thuận,15
13,Tiền Giang,0
14,Đắk Nông,136
15,Quảng Trị,0
16,Long An,0
17,Điện Biên,70
18,Lai Châu,32
19,Quảng Ngãi,14
20,Hà Tĩnh,3
21,Thái Nguyên,0
22,Đồng Tháp,1
23,Sóc Trăng,0
24,Lâm Đồng,39
25,Khánh Hoà,7
26,Kiên Giang,1
27,Thừa Thiên - Huế,6
28,Quảng Ninh,2
29,Bến Tre,0
30,Gia Lai,219
31,Vĩnh Phúc,0
32,Lào Cai,2
33,Hưng Yên,0
34,Bà Rịa - Vũng Tàu,6
35,Phú Yên,6
36,Cao Bằng,9
37,Hải Phòng,0
38,Tuyên Quang,9
39,Đắk Lắk,40
40,Hải Dương,0
41,Kon Tum,436
42,Bạc Liêu,0
43,Đà Nẵng,0
44,Hoà Bình,9
45,Hà Giang,10
46,Thái Bình,0
47,Lạng Sơn,5
48,Sơn La,43
49,Cần Thơ,0
50,Vĩnh Long,0
51,Ninh Bình,0
52,Quảng Bình,14
53,Hậu Giang,0
54,Hà Nội,0
55,Bắc Ninh,0
56,Bình Phước,56
57,Hà Nam,0
58,Tây Ninh,1
59,Bình Dương,2
60,Nam Định,0
61,Yên Bái,0
62,An Giang,0
