,province,fire
0,Trà Vinh,0
1,Phú Thọ,17
2,Cà Mau,0
3,Thanh Hoá,23
4,Ninh Thuận,1
5,TP. Hồ Chí Minh,0
6,Quảng Nam,15
7,Bình Định,7
8,Bắc Giang,14
9,Đồng Nai,6
10,Bắc Kạn,24
11,Nghệ An,34
12,Bình Thuận,12
13,Tiền Giang,0
14,Đắk Nông,79
15,Quảng Trị,0
16,Long An,0
17,Điện Biên,103
18,Lai Châu,46
19,Quảng Ngãi,7
20,Hà Tĩnh,21
21,Thái Nguyên,20
22,Đồng Tháp,0
23,Sóc Trăng,0
24,Lâm Đồng,49
25,Khánh Hoà,3
26,Kiên Giang,4
27,Thừa Thiên - Huế,14
28,Quảng Ninh,145
29,Bến Tre,0
30,Gia Lai,67
31,Vĩnh Phúc,4
32,Lào Cai,16
33,Hưng Yên,0
34,Bà Rịa - Vũng Tàu,3
35,Phú Yên,2
36,Cao Bằng,17
37,Hải Phòng,0
38,Tuyên Quang,25
39,Đắk Lắk,317
40,Hải Dương,0
41,Kon Tum,22
42,Bạc Liêu,0
43,Đà Nẵng,0
44,Hoà Bình,30
45,Hà Giang,15
46,Thái Bình,0
47,Lạng Sơn,62
48,Sơn La,83
49,Cần Thơ,0
50,Vĩnh Long,0
51,Ninh Bình,0
52,Quảng Bình,15
53,Hậu Giang,0
54,Hà Nội,1
55,Bắc Ninh,0
56,Bình Phước,6
57,Hà Nam,0
58,Tây Ninh,5
59,Bình Dương,0
60,Nam Định,0
61,Yên Bái,26
62,An Giang,0
