,province,fire
0,Trà Vinh,18
1,Phú Thọ,11
2,Cà Mau,6
3,Thanh Hoá,171
4,Ninh Thuận,36
5,TP. Hồ Chí Minh,23
6,Quảng Nam,177
7,Bình Định,72
8,Bắc Giang,33
9,Đồng Nai,105
10,Bắc Kạn,3
11,Nghệ An,314
12,Bình Thuận,79
13,Tiền Giang,19
14,Đắk Nông,11
15,Quảng Trị,36
16,Long An,74
17,Điện Biên,0
18,Lai Châu,1
19,Quảng Ngãi,143
20,Hà Tĩnh,106
21,Thái Nguyên,38
22,Đồng Tháp,76
23,Sóc Trăng,12
24,Lâm Đồng,13
25,Khánh Hoà,109
26,Kiên Giang,46
27,Thừa Thiên - Huế,15
28,Quảng Ninh,58
29,Bến Tre,63
30,Gia Lai,64
31,Vĩnh Phúc,10
32,Lào Cai,20
33,Hưng Yên,17
34,Bà Rịa - Vũng Tàu,48
35,Phú Yên,121
36,Cao Bằng,6
37,Hải Phòng,13
38,Tuyên Quang,25
39,Đắk Lắk,65
40,Hải Dương,33
41,Kon Tum,4
42,Bạc Liêu,3
43,Đà Nẵng,15
44,Hoà Bình,63
45,Hà Giang,13
46,Thái Bình,10
47,Lạng Sơn,21
48,Sơn La,8
49,Cần Thơ,5
50,Vĩnh Long,4
51,Ninh Bình,18
52,Quảng Bình,79
53,Hậu Giang,12
54,Hà Nội,63
55,Bắc Ninh,53
56,Bình Phước,30
57,Hà Nam,31
58,Tây Ninh,53
59,Bình Dương,65
60,Nam Định,28
61,Yên Bái,13
62,An Giang,93
