,province,fire
0,Trà Vinh,0
1,Phú Thọ,4
2,Cà Mau,0
3,Thanh Hoá,85
4,Ninh Thuận,8
5,TP. Hồ Chí Minh,0
6,Quảng Nam,107
7,Bình Định,24
8,Bắc Giang,13
9,Đồng Nai,2
10,Bắc Kạn,43
11,Nghệ An,200
12,Bình Thuận,4
13,Tiền Giang,0
14,Đắk Nông,7
15,Quảng Trị,0
16,Long An,1
17,Điện Biên,28
18,Lai Châu,13
19,Quảng Ngãi,59
20,Hà Tĩnh,1
21,Thái Nguyên,12
22,Đồng Tháp,0
23,Sóc Trăng,0
24,Lâm Đồng,20
25,Khánh Hoà,11
26,Kiên Giang,0
27,Thừa Thiên - Huế,9
28,Quảng Ninh,43
29,Bến Tre,0
30,Gia Lai,56
31,Vĩnh Phúc,0
32,Lào Cai,4
33,Hưng Yên,0
34,Bà Rịa - Vũng Tàu,2
35,Phú Yên,3
36,Cao Bằng,9
37,Hải Phòng,0
38,Tuyên Quang,19
39,Đắk Lắk,22
40,Hải Dương,0
41,Kon Tum,68
42,Bạc Liêu,0
43,Đà Nẵng,0
44,Hoà Bình,6
45,Hà Giang,7
46,Thái Bình,0
47,Lạng Sơn,10
48,Sơn La,25
49,Cần Thơ,0
50,Vĩnh Long,0
51,Ninh Bình,0
52,Quảng Bình,7
53,Hậu Giang,0
54,Hà Nội,0
55,Bắc Ninh,0
56,Bình Phước,15
57,Hà Nam,0
58,Tây Ninh,0
59,Bình Dương,2
60,Nam Định,0
61,Yên Bái,8
62,An Giang,3
