,province,fire
0,Trà Vinh,0
1,Phú Thọ,1
2,Cà Mau,1
3,Thanh Hoá,0
4,Ninh Thuận,5
5,TP. Hồ Chí Minh,0
6,Quảng Nam,14
7,Bình Định,1
8,Bắc Giang,0
9,Đồng Nai,1
10,Bắc Kạn,3
11,Nghệ An,7
12,Bình Thuận,6
13,Tiền Giang,0
14,Đắk Nông,3
15,Quảng Trị,0
16,Long An,0
17,Điện Biên,31
18,Lai Châu,19
19,Quảng Ngãi,3
20,Hà Tĩnh,5
21,Thái Nguyên,1
22,Đồng Tháp,0
23,Sóc Trăng,0
24,Lâm Đồng,7
25,Khánh Hoà,4
26,Kiên Giang,1
27,Thừa Thiên - Huế,6
28,Quảng Ninh,4
29,Bến Tre,0
30,Gia Lai,9
31,Vĩnh Phúc,0
32,Lào Cai,1
33,Hưng Yên,0
34,Bà Rịa - Vũng Tàu,1
35,Phú Yên,0
36,Cao Bằng,3
37,Hải Phòng,0
38,Tuyên Quang,0
39,Đắk Lắk,12
40,Hải Dương,0
41,Kon Tum,16
42,Bạc Liêu,0
43,Đà Nẵng,0
44,Hoà Bình,7
45,Hà Giang,0
46,Thái Bình,0
47,Lạng Sơn,0
48,Sơn La,31
49,Cần Thơ,0
50,Vĩnh Long,0
51,Ninh Bình,0
52,Quảng Bình,1
53,Hậu Giang,0
54,Hà Nội,0
55,Bắc Ninh,0
56,Bình Phước,10
57,Hà Nam,0
58,Tây Ninh,0
59,Bình Dương,1
60,Nam Định,0
61,Yên Bái,2
62,An Giang,0
