,province,fire
0,Trà Vinh,6
1,Phú Thọ,24
2,Cà Mau,16
3,Thanh Hoá,216
4,Ninh Thuận,116
5,TP. Hồ Chí Minh,66
6,Quảng Nam,230
7,Bình Định,171
8,Bắc Giang,43
9,Đồng Nai,195
10,Bắc Kạn,25
11,Nghệ An,154
12,Bình Thuận,148
13,Tiền Giang,55
14,Đắk Nông,118
15,Quảng Trị,104
16,Long An,117
17,Điện Biên,81
18,Lai Châu,22
19,Quảng Ngãi,189
20,Hà Tĩnh,84
21,Thái Nguyên,44
22,Đồng Tháp,108
23,Sóc Trăng,20
24,Lâm Đồng,240
25,Khánh Hoà,151
26,Kiên Giang,116
27,Thừa Thiên - Huế,91
28,Quảng Ninh,69
29,Bến Tre,18
30,Gia Lai,73
31,Vĩnh Phúc,8
32,Lào Cai,3
33,Hưng Yên,4
34,Bà Rịa - Vũng Tàu,65
35,Phú Yên,148
36,Cao Bằng,10
37,Hải Phòng,36
38,Tuyên Quang,37
39,Đắk Lắk,172
40,Hải Dương,54
41,Kon Tum,16
42,Bạc Liêu,2
43,Đà Nẵng,54
44,Hoà Bình,26
45,Hà Giang,12
46,Thái Bình,14
47,Lạng Sơn,70
48,Sơn La,72
49,Cần Thơ,0
50,Vĩnh Long,1
51,Ninh Bình,25
52,Quảng Bình,146
53,Hậu Giang,9
54,Hà Nội,15
55,Bắc Ninh,14
56,Bình Phước,129
57,Hà Nam,37
58,Tây Ninh,170
59,Bình Dương,76
60,Nam Định,9
61,Yên Bái,27
62,An Giang,74
