,province,fire
0,Trà Vinh,0
1,Phú Thọ,1
2,Cà Mau,0
3,Thanh Hoá,55
4,Ninh Thuận,20
5,TP. Hồ Chí Minh,0
6,Quảng Nam,226
7,Bình Định,26
8,Bắc Giang,4
9,Đồng Nai,2
10,Bắc Kạn,1
11,Nghệ An,124
12,Bình Thuận,5
13,Tiền Giang,0
14,Đắk Nông,28
15,Quảng Trị,0
16,Long An,6
17,Điện Biên,331
18,Lai Châu,132
19,Quảng Ngãi,129
20,Hà Tĩnh,18
21,Thái Nguyên,0
22,Đồng Tháp,0
23,Sóc Trăng,0
24,Lâm Đồng,30
25,Khánh Hoà,36
26,Kiên Giang,3
27,Thừa Thiên - Huế,14
28,Quảng Ninh,4
29,Bến Tre,0
30,Gia Lai,76
31,Vĩnh Phúc,0
32,Lào Cai,2
33,Hưng Yên,0
34,Bà Rịa - Vũng Tàu,1
35,Phú Yên,10
36,Cao Bằng,1
37,Hải Phòng,0
38,Tuyên Quang,4
39,Đắk Lắk,110
40,Hải Dương,0
41,Kon Tum,97
42,Bạc Liêu,0
43,Đà Nẵng,0
44,Hoà Bình,7
45,Hà Giang,1
46,Thái Bình,0
47,Lạng Sơn,0
48,Sơn La,100
49,Cần Thơ,0
50,Vĩnh Long,0
51,Ninh Bình,0
52,Quảng Bình,38
53,Hậu Giang,0
54,Hà Nội,0
55,Bắc Ninh,0
56,Bình Phước,2
57,Hà Nam,0
58,Tây Ninh,0
59,Bình Dương,0
60,Nam Định,0
61,Yên Bái,4
62,An Giang,2
