,province,fire
0,Trà Vinh,3
1,Phú Thọ,22
2,Cà Mau,1
3,Thanh Hoá,107
4,Ninh Thuận,18
5,TP. Hồ Chí Minh,17
6,Quảng Nam,227
7,Bình Định,48
8,Bắc Giang,32
9,Đồng Nai,48
10,Bắc Kạn,7
11,Nghệ An,320
12,Bình Thuận,33
13,Tiền Giang,74
14,Đắk Nông,20
15,Quảng Trị,75
16,Long An,44
17,Điện Biên,1
18,Lai Châu,2
19,Quảng Ngãi,151
20,Hà Tĩnh,69
21,Thái Nguyên,25
22,Đồng Tháp,36
23,Sóc Trăng,5
24,Lâm Đồng,2
25,Khánh Hoà,86
26,Kiên Giang,30
27,Thừa Thiên - Huế,22
28,Quảng Ninh,85
29,Bến Tre,4
30,Gia Lai,55
31,Vĩnh Phúc,18
32,Lào Cai,8
33,Hưng Yên,14
34,Bà Rịa - Vũng Tàu,21
35,Phú Yên,72
36,Cao Bằng,3
37,Hải Phòng,9
38,Tuyên Quang,47
39,Đắk Lắk,48
40,Hải Dương,30
41,Kon Tum,42
42,Bạc Liêu,2
43,Đà Nẵng,8
44,Hoà Bình,17
45,Hà Giang,53
46,Thái Bình,5
47,Lạng Sơn,31
48,Sơn La,18
49,Cần Thơ,24
50,Vĩnh Long,8
51,Ninh Bình,10
52,Quảng Bình,66
53,Hậu Giang,10
54,Hà Nội,42
55,Bắc Ninh,51
56,Bình Phước,27
57,Hà Nam,23
58,Tây Ninh,19
59,Bình Dương,30
60,Nam Định,8
61,Yên Bái,24
62,An Giang,6
