,province,fire
0,Trà Vinh,10
1,Phú Thọ,42
2,Cà Mau,2
3,Thanh Hoá,111
4,Ninh Thuận,35
5,TP. Hồ Chí Minh,30
6,Quảng Nam,22
7,Bình Định,27
8,Bắc Giang,21
9,Đồng Nai,139
10,Bắc Kạn,89
11,Nghệ An,168
12,Bình Thuận,210
13,Tiền Giang,27
14,Đắk Nông,68
15,Quảng Trị,49
16,Long An,109
17,Điện Biên,342
18,Lai Châu,186
19,Quảng Ngãi,37
20,Hà Tĩnh,53
21,Thái Nguyên,35
22,Đồng Tháp,81
23,Sóc Trăng,7
24,Lâm Đồng,88
25,Khánh Hoà,13
26,Kiên Giang,70
27,Thừa Thiên - Huế,20
28,Quảng Ninh,37
29,Bến Tre,28
30,Gia Lai,252
31,Vĩnh Phúc,8
32,Lào Cai,130
33,Hưng Yên,0
34,Bà Rịa - Vũng Tàu,34
35,Phú Yên,37
36,Cao Bằng,158
37,Hải Phòng,19
38,Tuyên Quang,115
39,Đắk Lắk,608
40,Hải Dương,21
41,Kon Tum,70
42,Bạc Liêu,7
43,Đà Nẵng,1
44,Hoà Bình,25
45,Hà Giang,135
46,Thái Bình,0
47,Lạng Sơn,73
48,Sơn La,228
49,Cần Thơ,0
50,Vĩnh Long,0
51,Ninh Bình,7
52,Quảng Bình,46
53,Hậu Giang,8
54,Hà Nội,8
55,Bắc Ninh,10
56,Bình Phước,85
57,Hà Nam,15
58,Tây Ninh,112
59,Bình Dương,58
60,Nam Định,1
61,Yên Bái,137
62,An Giang,287
