,province,fire
0,Trà Vinh,0
1,Phú Thọ,1
2,Cà Mau,0
3,Thanh Hoá,10
4,Ninh Thuận,3
5,TP. Hồ Chí Minh,0
6,Quảng Nam,42
7,Bình Định,46
8,Bắc Giang,2
9,Đồng Nai,2
10,Bắc Kạn,0
11,Nghệ An,12
12,Bình Thuận,2
13,Tiền Giang,0
14,Đắk Nông,1
15,Quảng Trị,0
16,Long An,0
17,Điện Biên,15
18,Lai Châu,3
19,Quảng Ngãi,19
20,Hà Tĩnh,29
21,Thái Nguyên,3
22,Đồng Tháp,0
23,Sóc Trăng,0
24,Lâm Đồng,1
25,Khánh Hoà,3
26,Kiên Giang,4
27,Thừa Thiên - Huế,30
28,Quảng Ninh,7
29,Bến Tre,0
30,Gia Lai,3
31,Vĩnh Phúc,0
32,Lào Cai,1
33,Hưng Yên,0
34,Bà Rịa - Vũng Tàu,1
35,Phú Yên,8
36,Cao Bằng,1
37,Hải Phòng,0
38,Tuyên Quang,7
39,Đắk Lắk,1
40,Hải Dương,0
41,Kon Tum,0
42,Bạc Liêu,0
43,Đà Nẵng,0
44,Hoà Bình,3
45,Hà Giang,0
46,Thái Bình,0
47,Lạng Sơn,3
48,Sơn La,4
49,Cần Thơ,0
50,Vĩnh Long,0
51,Ninh Bình,0
52,Quảng Bình,17
53,Hậu Giang,0
54,Hà Nội,0
55,Bắc Ninh,0
56,Bình Phước,0
57,Hà Nam,0
58,Tây Ninh,1
59,Bình Dương,0
60,Nam Định,0
61,Yên Bái,3
62,An Giang,0
