,province,fire
0,Trà Vinh,0
1,Phú Thọ,1
2,Cà Mau,0
3,Thanh Hoá,9
4,Ninh Thuận,0
5,TP. Hồ Chí Minh,3
6,Quảng Nam,24
7,Bình Định,11
8,Bắc Giang,4
9,Đồng Nai,6
10,Bắc Kạn,1
11,Nghệ An,33
12,Bình Thuận,5
13,Tiền Giang,6
14,Đắk Nông,0
15,Quảng Trị,1
16,Long An,7
17,Điện Biên,0
18,Lai Châu,0
19,Quảng Ngãi,22
20,Hà Tĩnh,1
21,Thái Nguyên,5
22,Đồng Tháp,5
23,Sóc Trăng,2
24,Lâm Đồng,1
25,Khánh Hoà,5
26,Kiên Giang,0
27,Thừa Thiên - Huế,2
28,Quảng Ninh,1
29,Bến Tre,0
30,Gia Lai,4
31,Vĩnh Phúc,2
32,Lào Cai,1
33,Hưng Yên,4
34,Bà Rịa - Vũng Tàu,0
35,Phú Yên,0
36,Cao Bằng,1
37,Hải Phòng,1
38,Tuyên Quang,0
39,Đắk Lắk,6
40,Hải Dương,4
41,Kon Tum,1
42,Bạc Liêu,0
43,Đà Nẵng,2
44,Hoà Bình,2
45,Hà Giang,2
46,Thái Bình,2
47,Lạng Sơn,1
48,Sơn La,0
49,Cần Thơ,8
50,Vĩnh Long,0
51,Ninh Bình,2
52,Quảng Bình,1
53,Hậu Giang,1
54,Hà Nội,7
55,Bắc Ninh,3
56,Bình Phước,2
57,Hà Nam,3
58,Tây Ninh,1
59,Bình Dương,6
60,Nam Định,1
61,Yên Bái,0
62,An Giang,0
