,province,fire
0,Trà Vinh,2
1,Phú Thọ,5
2,Cà Mau,4
3,Thanh Hoá,44
4,Ninh Thuận,24
5,TP. Hồ Chí Minh,22
6,Quảng Nam,213
7,Bình Định,143
8,Bắc Giang,7
9,Đồng Nai,45
10,Bắc Kạn,0
11,Nghệ An,22
12,Bình Thuận,46
13,Tiền Giang,19
14,Đắk Nông,0
15,Quảng Trị,63
16,Long An,83
17,Điện Biên,2
18,Lai Châu,4
19,Quảng Ngãi,123
20,Hà Tĩnh,53
21,Thái Nguyên,7
22,Đồng Tháp,59
23,Sóc Trăng,2
24,Lâm Đồng,6
25,Khánh Hoà,216
26,Kiên Giang,10
27,Thừa Thiên - Huế,76
28,Quảng Ninh,20
29,Bến Tre,4
30,Gia Lai,34
31,Vĩnh Phúc,4
32,Lào Cai,5
33,Hưng Yên,2
34,Bà Rịa - Vũng Tàu,31
35,Phú Yên,207
36,Cao Bằng,1
37,Hải Phòng,8
38,Tuyên Quang,5
39,Đắk Lắk,97
40,Hải Dương,31
41,Kon Tum,0
42,Bạc Liêu,0
43,Đà Nẵng,16
44,Hoà Bình,2
45,Hà Giang,1
46,Thái Bình,2
47,Lạng Sơn,5
48,Sơn La,7
49,Cần Thơ,1
50,Vĩnh Long,0
51,Ninh Bình,7
52,Quảng Bình,117
53,Hậu Giang,1
54,Hà Nội,18
55,Bắc Ninh,18
56,Bình Phước,10
57,Hà Nam,10
58,Tây Ninh,33
59,Bình Dương,24
60,Nam Định,7
61,Yên Bái,0
62,An Giang,142
