,province,fire
0,Trà Vinh,0
1,Phú Thọ,9
2,Cà Mau,9
3,Thanh Hoá,190
4,Ninh Thuận,108
5,TP. Hồ Chí Minh,26
6,Quảng Nam,924
7,Bình Định,151
8,Bắc Giang,27
9,Đồng Nai,74
10,Bắc Kạn,53
11,Nghệ An,826
12,Bình Thuận,152
13,Tiền Giang,55
14,Đắk Nông,126
15,Quảng Trị,373
16,Long An,90
17,Điện Biên,88
18,Lai Châu,117
19,Quảng Ngãi,546
20,Hà Tĩnh,66
21,Thái Nguyên,20
22,Đồng Tháp,272
23,Sóc Trăng,19
24,Lâm Đồng,161
25,Khánh Hoà,248
26,Kiên Giang,101
27,Thừa Thiên - Huế,114
28,Quảng Ninh,139
29,Bến Tre,7
30,Gia Lai,370
31,Vĩnh Phúc,2
32,Lào Cai,37
33,Hưng Yên,6
34,Bà Rịa - Vũng Tàu,65
35,Phú Yên,112
36,Cao Bằng,42
37,Hải Phòng,2
38,Tuyên Quang,61
39,Đắk Lắk,596
40,Hải Dương,18
41,Kon Tum,263
42,Bạc Liêu,13
43,Đà Nẵng,23
44,Hoà Bình,43
45,Hà Giang,117
46,Thái Bình,0
47,Lạng Sơn,67
48,Sơn La,251
49,Cần Thơ,31
50,Vĩnh Long,6
51,Ninh Bình,12
52,Quảng Bình,99
53,Hậu Giang,7
54,Hà Nội,17
55,Bắc Ninh,7
56,Bình Phước,61
57,Hà Nam,18
58,Tây Ninh,61
59,Bình Dương,43
60,Nam Định,5
61,Yên Bái,52
62,An Giang,60
