,province,fire
0,Trà Vinh,66
1,Phú Thọ,148
2,Cà Mau,327
3,Thanh Hoá,295
4,Ninh Thuận,283
5,TP. Hồ Chí Minh,180
6,Quảng Nam,2162
7,Bình Định,351
8,Bắc Giang,70
9,Đồng Nai,896
10,Bắc Kạn,152
11,Nghệ An,770
12,Bình Thuận,4209
13,Tiền Giang,1170
14,Đắk Nông,3762
15,Quảng Trị,1037
16,Long An,2151
17,Điện Biên,8893
18,Lai Châu,3420
19,Quảng Ngãi,2097
20,Hà Tĩnh,369
21,Thái Nguyên,102
22,Đồng Tháp,4303
23,Sóc Trăng,201
24,Lâm Đồng,2182
25,Khánh Hoà,115
26,Kiên Giang,2610
27,Thừa Thiên - Huế,642
28,Quảng Ninh,474
29,Bến Tre,80
30,Gia Lai,12262
31,Vĩnh Phúc,12
32,Lào Cai,644
33,Hưng Yên,5
34,Bà Rịa - Vũng Tàu,494
35,Phú Yên,325
36,Cao Bằng,124
37,Hải Phòng,27
38,Tuyên Quang,384
39,Đắk Lắk,8045
40,Hải Dương,49
41,Kon Tum,11591
42,Bạc Liêu,71
43,Đà Nẵng,172
44,Hoà Bình,93
45,Hà Giang,324
46,Thái Bình,0
47,Lạng Sơn,891
48,Sơn La,4884
49,Cần Thơ,2558
50,Vĩnh Long,383
51,Ninh Bình,44
52,Quảng Bình,744
53,Hậu Giang,212
54,Hà Nội,9
55,Bắc Ninh,14
56,Bình Phước,558
57,Hà Nam,11
58,Tây Ninh,606
59,Bình Dương,393
60,Nam Định,2
61,Yên Bái,465
62,An Giang,2177
