,province,fire
0,Trà Vinh,0
1,Phú Thọ,1
2,Cà Mau,1
3,Thanh Hoá,29
4,Ninh Thuận,68
5,TP. Hồ Chí Minh,1
6,Quảng Nam,238
7,Bình Định,13
8,Bắc Giang,1
9,Đồng Nai,8
10,Bắc Kạn,1
11,Nghệ An,126
12,Bình Thuận,30
13,Tiền Giang,0
14,Đắk Nông,238
15,Quảng Trị,0
16,Long An,2
17,Điện Biên,783
18,Lai Châu,618
19,Quảng Ngãi,59
20,Hà Tĩnh,13
21,Thái Nguyên,0
22,Đồng Tháp,0
23,Sóc Trăng,0
24,Lâm Đồng,277
25,Khánh Hoà,42
26,Kiên Giang,2
27,Thừa Thiên - Huế,13
28,Quảng Ninh,0
29,Bến Tre,0
30,Gia Lai,350
31,Vĩnh Phúc,0
32,Lào Cai,29
33,Hưng Yên,0
34,Bà Rịa - Vũng Tàu,0
35,Phú Yên,16
36,Cao Bằng,7
37,Hải Phòng,0
38,Tuyên Quang,2
39,Đắk Lắk,206
40,Hải Dương,0
41,Kon Tum,539
42,Bạc Liêu,0
43,Đà Nẵng,0
44,Hoà Bình,12
45,Hà Giang,5
46,Thái Bình,0
47,Lạng Sơn,0
48,Sơn La,487
49,Cần Thơ,0
50,Vĩnh Long,0
51,Ninh Bình,0
52,Quảng Bình,30
53,Hậu Giang,0
54,Hà Nội,0
55,Bắc Ninh,0
56,Bình Phước,6
57,Hà Nam,0
58,Tây Ninh,5
59,Bình Dương,0
60,Nam Định,0
61,Yên Bái,40
62,An Giang,0
