,province,fire
0,Trà Vinh,0
1,Phú Thọ,10
2,Cà Mau,1
3,Thanh Hoá,0
4,Ninh Thuận,10
5,TP. Hồ Chí Minh,0
6,Quảng Nam,13
7,Bình Định,0
8,Bắc Giang,0
9,Đồng Nai,5
10,Bắc Kạn,19
11,Nghệ An,28
12,Bình Thuận,14
13,Tiền Giang,0
14,Đắk Nông,53
15,Quảng Trị,0
16,Long An,0
17,Điện Biên,146
18,Lai Châu,186
19,Quảng Ngãi,1
20,Hà Tĩnh,2
21,Thái Nguyên,6
22,Đồng Tháp,0
23,Sóc Trăng,0
24,Lâm Đồng,27
25,Khánh Hoà,2
26,Kiên Giang,2
27,Thừa Thiên - Huế,8
28,Quảng Ninh,12
29,Bến Tre,0
30,Gia Lai,114
31,Vĩnh Phúc,0
32,Lào Cai,36
33,Hưng Yên,0
34,Bà Rịa - Vũng Tàu,4
35,Phú Yên,1
36,Cao Bằng,65
37,Hải Phòng,0
38,Tuyên Quang,20
39,Đắk Lắk,109
40,Hải Dương,0
41,Kon Tum,59
42,Bạc Liêu,0
43,Đà Nẵng,0
44,Hoà Bình,15
45,Hà Giang,0
46,Thái Bình,0
47,Lạng Sơn,40
48,Sơn La,171
49,Cần Thơ,0
50,Vĩnh Long,0
51,Ninh Bình,0
52,Quảng Bình,11
53,Hậu Giang,0
54,Hà Nội,0
55,Bắc Ninh,0
56,Bình Phước,70
57,Hà Nam,0
58,Tây Ninh,0
59,Bình Dương,3
60,Nam Định,0
61,Yên Bái,35
62,An Giang,0
