,province,fire
0,Trà Vinh,0
1,Phú Thọ,3
2,Cà Mau,5
3,Thanh Hoá,79
4,Ninh Thuận,4
5,TP. Hồ Chí Minh,0
6,Quảng Nam,188
7,Bình Định,49
8,Bắc Giang,25
9,Đồng Nai,0
10,Bắc Kạn,46
11,Nghệ An,218
12,Bình Thuận,2
13,Tiền Giang,0
14,Đắk Nông,16
15,Quảng Trị,0
16,Long An,4
17,Điện Biên,100
18,Lai Châu,78
19,Quảng Ngãi,105
20,Hà Tĩnh,58
21,Thái Nguyên,12
22,Đồng Tháp,0
23,Sóc Trăng,0
24,Lâm Đồng,16
25,Khánh Hoà,42
26,Kiên Giang,3
27,Thừa Thiên - Huế,9
28,Quảng Ninh,44
29,Bến Tre,0
30,Gia Lai,20
31,Vĩnh Phúc,0
32,Lào Cai,6
33,Hưng Yên,0
34,Bà Rịa - Vũng Tàu,0
35,Phú Yên,13
36,Cao Bằng,12
37,Hải Phòng,0
38,Tuyên Quang,42
39,Đắk Lắk,19
40,Hải Dương,0
41,Kon Tum,26
42,Bạc Liêu,0
43,Đà Nẵng,0
44,Hoà Bình,13
45,Hà Giang,46
46,Thái Bình,0
47,Lạng Sơn,11
48,Sơn La,39
49,Cần Thơ,0
50,Vĩnh Long,0
51,Ninh Bình,0
52,Quảng Bình,14
53,Hậu Giang,0
54,Hà Nội,0
55,Bắc Ninh,0
56,Bình Phước,7
57,Hà Nam,0
58,Tây Ninh,0
59,Bình Dương,0
60,Nam Định,0
61,Yên Bái,19
62,An Giang,2
