,province,fire
0,Trà Vinh,0
1,Phú Thọ,15
2,Cà Mau,14
3,Thanh Hoá,34
4,Ninh Thuận,8
5,TP. Hồ Chí Minh,5
6,Quảng Nam,58
7,Bình Định,24
8,Bắc Giang,36
9,Đồng Nai,35
10,Bắc Kạn,73
11,Nghệ An,54
12,Bình Thuận,27
13,Tiền Giang,4
14,Đắk Nông,12
15,Quảng Trị,30
16,Long An,30
17,Điện Biên,188
18,Lai Châu,31
19,Quảng Ngãi,41
20,Hà Tĩnh,28
21,Thái Nguyên,32
22,Đồng Tháp,8
23,Sóc Trăng,3
24,Lâm Đồng,9
25,Khánh Hoà,10
26,Kiên Giang,18
27,Thừa Thiên - Huế,35
28,Quảng Ninh,56
29,Bến Tre,1
30,Gia Lai,4
31,Vĩnh Phúc,1
32,Lào Cai,26
33,Hưng Yên,3
34,Bà Rịa - Vũng Tàu,6
35,Phú Yên,23
36,Cao Bằng,97
37,Hải Phòng,14
38,Tuyên Quang,60
39,Đắk Lắk,10
40,Hải Dương,52
41,Kon Tum,2
42,Bạc Liêu,1
43,Đà Nẵng,1
44,Hoà Bình,32
45,Hà Giang,38
46,Thái Bình,1
47,Lạng Sơn,81
48,Sơn La,71
49,Cần Thơ,0
50,Vĩnh Long,0
51,Ninh Bình,7
52,Quảng Bình,32
53,Hậu Giang,3
54,Hà Nội,17
55,Bắc Ninh,18
56,Bình Phước,8
57,Hà Nam,11
58,Tây Ninh,16
59,Bình Dương,8
60,Nam Định,1
61,Yên Bái,45
62,An Giang,69
