,province,fire
0,Trà Vinh,0
1,Phú Thọ,8
2,Cà Mau,0
3,Thanh Hoá,5
4,Ninh Thuận,7
5,TP. Hồ Chí Minh,1
6,Quảng Nam,22
7,Bình Định,2
8,Bắc Giang,1
9,Đồng Nai,10
10,Bắc Kạn,0
11,Nghệ An,17
12,Bình Thuận,47
13,Tiền Giang,0
14,Đắk Nông,212
15,Quảng Trị,0
16,Long An,0
17,Điện Biên,142
18,Lai Châu,51
19,Quảng Ngãi,19
20,Hà Tĩnh,0
21,Thái Nguyên,1
22,Đồng Tháp,0
23,Sóc Trăng,0
24,Lâm Đồng,70
25,Khánh Hoà,5
26,Kiên Giang,0
27,Thừa Thiên - Huế,14
28,Quảng Ninh,18
29,Bến Tre,0
30,Gia Lai,286
31,Vĩnh Phúc,0
32,Lào Cai,0
33,Hưng Yên,0
34,Bà Rịa - Vũng Tàu,2
35,Phú Yên,0
36,Cao Bằng,1
37,Hải Phòng,0
38,Tuyên Quang,10
39,Đắk Lắk,528
40,Hải Dương,0
41,Kon Tum,262
42,Bạc Liêu,0
43,Đà Nẵng,0
44,Hoà Bình,7
45,Hà Giang,1
46,Thái Bình,0
47,Lạng Sơn,1
48,Sơn La,93
49,Cần Thơ,0
50,Vĩnh Long,0
51,Ninh Bình,0
52,Quảng Bình,14
53,Hậu Giang,0
54,Hà Nội,0
55,Bắc Ninh,0
56,Bình Phước,90
57,Hà Nam,0
58,Tây Ninh,2
59,Bình Dương,2
60,Nam Định,0
61,Yên Bái,16
62,An Giang,0
