,province,fire
0,Trà Vinh,53
1,Phú Thọ,48
2,Cà Mau,20
3,Thanh Hoá,226
4,Ninh Thuận,79
5,TP. Hồ Chí Minh,25
6,Quảng Nam,530
7,Bình Định,451
8,Bắc Giang,80
9,Đồng Nai,82
10,Bắc Kạn,25
11,Nghệ An,319
12,Bình Thuận,110
13,Tiền Giang,40
14,Đắk Nông,33
15,Quảng Trị,92
16,Long An,102
17,Điện Biên,58
18,Lai Châu,15
19,Quảng Ngãi,389
20,Hà Tĩnh,244
21,Thái Nguyên,50
22,Đồng Tháp,74
23,Sóc Trăng,33
24,Lâm Đồng,24
25,Khánh Hoà,142
26,Kiên Giang,152
27,Thừa Thiên - Huế,119
28,Quảng Ninh,105
29,Bến Tre,70
30,Gia Lai,94
31,Vĩnh Phúc,27
32,Lào Cai,9
33,Hưng Yên,7
34,Bà Rịa - Vũng Tàu,57
35,Phú Yên,338
36,Cao Bằng,6
37,Hải Phòng,22
38,Tuyên Quang,26
39,Đắk Lắk,142
40,Hải Dương,86
41,Kon Tum,6
42,Bạc Liêu,15
43,Đà Nẵng,33
44,Hoà Bình,60
45,Hà Giang,12
46,Thái Bình,22
47,Lạng Sơn,78
48,Sơn La,107
49,Cần Thơ,3
50,Vĩnh Long,0
51,Ninh Bình,34
52,Quảng Bình,285
53,Hậu Giang,27
54,Hà Nội,79
55,Bắc Ninh,33
56,Bình Phước,41
57,Hà Nam,41
58,Tây Ninh,40
59,Bình Dương,54
60,Nam Định,23
61,Yên Bái,44
62,An Giang,130
